epoch,split,loss,perplexity,bpc
1,train,3.0781562964121503,21.718323309964084,4.4408408239149475
1,val,2.4816568676503516,11.961065912265157,3.580274056147201
2,train,2.2482991854349774,9.471612672201893,3.243610085261738
2,val,2.150753567292906,8.591330103807204,3.102881505707723
3,train,1.9780662298202514,7.228750718031487,2.8537463403116052
3,val,1.97866556782422,7.233084481622903,2.854611002277747
4,train,1.8020330746968587,6.061959360859502,2.599784180383049
4,val,1.8684106709026973,6.477992551299042,2.6955468092553425
5,train,1.6747752666473388,5.3375954785481925,2.4161899717956072
5,val,1.780402409671818,5.93224313035222,2.5685777272202928
6,train,1.5876837333043416,4.892403682380095,2.290543448538249
6,val,1.7193551075273428,5.580928204920956,2.480505087156808
7,train,1.519386879603068,4.569422729827766,2.192011916395103
7,val,1.6802095600170146,5.366680494946077,2.424029999890774
8,train,1.4658981482187907,4.331431761526599,2.114843988883564
8,val,1.6460725219497645,5.186569634727746,2.3747806643605145
9,train,1.4303110202153524,4.179999053977021,2.063502615793523
9,val,1.615934514025143,5.032588751402787,2.331300709785391
10,train,1.3913426160812379,4.020244075479496,2.007283092397879
10,val,1.5920297019303637,4.9137121847924465,2.2968133559228705
