epoch,split,loss,perplexity,bpc
1,train,2.9907306830088296,19.900217931633133,4.314712325011301
1,val,2.466851556403374,11.785283079279843,3.558914507032369
2,train,2.275121879577637,9.729104719475682,3.2823070530846343
2,val,2.1811394167928424,8.856391633258122,3.1467190200944795
3,train,2.040463081995646,7.694171406267945,2.943765969512129
3,val,2.027473153023504,7.594871015026238,2.92502546340252
4,train,1.880301308631897,6.555479787291354,2.712701373340266
4,val,1.9295882349565867,6.8866739660772,2.7838073775295555
5,train,1.7629269123077393,5.829474810298337,2.5433659138360682
5,val,1.851752325949078,6.370973769466623,2.671513897601338
6,train,1.6776036818822224,5.352713785263098,2.4202705124285484
6,val,1.7910515837666094,5.995754190182146,2.5839412378764113
7,train,1.6085328976313273,4.995476972998046,2.320622434519471
7,val,1.7534203828362716,5.774319320241958,2.5296508909115167
8,train,1.5531148036321005,4.726168366122251,2.2406710251312676
8,val,1.715520983324096,5.559571201878251,2.474973615182632
9,train,1.514298391342163,4.5462303330700635,2.1846707796154736
9,val,1.6754236585469402,5.341057454457112,2.4171254035737144
10,train,1.4717743873596192,4.356959219648185,2.1233216099511147
10,val,1.638738485241071,5.148670290104451,2.364199885971185
