epoch,split,loss,perplexity,bpc
1,train,3.042259391148885,20.9525297558808,4.389052536708373
1,val,2.4690724538666897,11.811486070883593,3.562118584789017
2,train,2.246703290939331,9.45650903278653,3.241307696187087
2,val,2.137202888251499,8.475696970155019,3.0833320082540068
3,train,1.972422711054484,7.188070026794342,2.8456044637750693
3,val,1.9663310455073881,7.14441580671097,2.8368160480995197
4,train,1.7877700090408326,5.976110922822278,2.5792069262932267
4,val,1.8627046499791131,6.441134247389904,2.687314761165679
5,train,1.6638939460118611,5.279830241719712,2.400491544476481
5,val,1.7897946908085738,5.988222902964809,2.5821279246389253
6,train,1.5766180674235026,4.838564410950264,2.2745790672478288
6,val,1.7317222034362945,5.650376631823064,2.498347035094851
7,train,1.5102187315622966,4.527721041508198,2.178785074682546
7,val,1.6789261433436975,5.359797225714566,2.4221784210207855
8,train,1.4554907004038493,4.286586379277072,2.0998292155326372
8,val,1.6416173109234538,5.163513770009862,2.3683531535067424
9,train,1.4080300728480022,4.08789461250015,2.0313580035203387
9,val,1.6108812671810697,5.007221984423817,2.3240104156230585
10,train,1.3712121884028117,3.940123974416722,1.9782410242152395
10,val,1.5905478537770859,4.90643620174812,2.294675500940786
