epoch,split,loss,perplexity,bpc
1,train,3.0427735964457194,20.96330642813688,4.389794378140116
1,val,2.4696573248264726,11.818396286673618,3.562962375222256
2,train,2.249235010147095,9.480480590165346,3.244960194933051
2,val,2.1442004022529577,8.535213770342972,3.093427287002463
3,train,1.973798688252767,7.197967455007064,2.8475895792554082
3,val,1.9670133011414186,7.149291787790601,2.8378003349193537
4,train,1.7943445761998496,6.015530707451801,2.588692021729532
4,val,1.8582016210601937,6.4121948399984525,2.6808182636753743
5,train,1.6675062974294026,5.29893733396615,2.405703065952516
5,val,1.7753053117235906,5.90208283634849,2.5612241692874598
6,train,1.5815810124079386,4.862637627538314,2.2817390833650792
6,val,1.7164517798379413,5.564748440475464,2.476316470697233
7,train,1.5150024096171062,4.549432089221823,2.185686463289429
7,val,1.6753521360970116,5.34067546260342,2.4170222184898904
8,train,1.4619586308797201,4.31440157837538,2.109160466754991
8,val,1.6423072021651024,5.167077262005546,2.3693484561798215
9,train,1.427884538968404,4.169868660235989,2.0600019433317405
9,val,1.6111709152846647,5.008672526839173,2.3244282895057182
10,train,1.3875428994496664,4.004997272312951,2.001801260056727
10,val,1.5848790090529088,4.878701064139779,2.286497086769646
