epoch,split,loss,perplexity,bpc
1,train,3.0443839550018312,20.99709206420065,4.392117634443071
1,val,2.4683543207711947,11.803006896781287,3.5610825377334483
2,train,2.248676554361979,9.475187639011247,3.244154513541309
2,val,2.1422608994027597,8.518675741869242,3.090629175858692
3,train,1.9727705796559651,7.190570965635739,2.8461063320813067
3,val,1.9661240629818648,7.142937190513045,2.8365174354363965
4,train,1.7936883052190145,6.011584184350116,2.5877452228400015
4,val,1.8594302423760836,6.420077840880349,2.682590789554939
5,train,1.6679275592168172,5.301170044023551,2.406310818244135
5,val,1.7773635047858198,5.914242971955647,2.5641935142115297
6,train,1.5818600177764892,4.863994518822889,2.2821416030266684
6,val,1.7176559043286992,5.5714531261855775,2.478053655128662
7,train,1.512235959370931,4.536863704619721,2.181695319238406
7,val,1.6711728199930809,5.318401668670299,2.4109927398724422
8,train,1.453584623336792,4.278423597200801,2.097079327600442
8,val,1.6340159985308857,5.124413085329652,2.3573867778137365
9,train,1.4167996644973755,4.123901430743127,2.0440098499035106
9,val,1.6023159751010523,4.96451681781605,2.311653311215452
10,train,1.3774400711059571,3.9647391750950574,1.9872259597063056
10,val,1.578645929299925,4.84838630661391,2.277504653520551
