epoch,split,loss,perplexity,bpc
1,train,2.969534476598104,19.482847763050398,4.284132663136888
1,val,2.4014091665234187,11.038720821559544,3.464501095688635
2,train,2.162480926513672,8.6926768212763,3.1198005086982454
2,val,2.072892156467578,7.94777612212474,2.990551234433404
3,train,1.875480874379476,6.523955569236798,2.705746956749367
3,val,1.9014751506665488,6.695764421986031,2.7432487702402244
4,train,1.6971812804539999,5.458539594551367,2.4485150168005667
4,val,1.7918912392105453,6.000790671987215,2.585152604621433
5,train,1.5785065650939942,4.847710662187661,2.2773035934717774
5,val,1.7046556173687222,5.499491411732812,2.4592982056013697
6,train,1.499677300453186,4.480243064631347,2.1635770042975597
6,val,1.650392898178639,5.209026042020878,2.381013649720687
7,train,1.4382315874099731,4.213238481141842,2.07492957880623
7,val,1.61940834141178,5.0501014965487245,2.3363123833289965
8,train,1.3889211893081665,4.010521125297511,2.003789712000493
8,val,1.5914678859971298,4.910952358325537,2.2960028268621016
9,train,1.3568687677383422,3.884012496049282,1.957547842353225
9,val,1.5681973851082176,4.797991462881645,2.2624305906306654
10,train,1.3179882685343425,3.735898188541981,1.9014551389643273
10,val,1.5533910237503232,4.727474009221226,2.2410695265260214
