epoch,split,loss,perplexity,bpc
1,train,3.119344790776571,22.631546386329916,4.50026326047618
1,val,2.504487025871085,12.237279947430405,3.6132110121949634
2,train,2.2689348697662353,9.669096480323944,3.2733810847117937
2,val,2.1592717025139256,8.664824789807614,3.1151705771487097
3,train,1.9836243549982706,7.269040884574746,2.861765019942574
3,val,1.98373950980481,7.269877997769416,2.861931153210903
4,train,1.8025997797648112,6.065395677548099,2.600601762974231
4,val,1.8722173431252824,6.50269914071125,2.7010386763931558
5,train,1.6785777966181437,5.357930483057078,2.421675862927319
5,val,1.7906376140126015,5.9932726429731265,2.583344005765226
6,train,1.5864269018173218,4.886258617849073,2.2887302239846927
6,val,1.7302162811031188,5.641874007215346,2.4961744484128143
7,train,1.5200255155563354,4.572341859500075,2.192933273317815
7,val,1.6820337202577544,5.376479114538724,2.4266617068238765
8,train,1.4696022987365722,4.3475057886578075,2.1201879484662736
8,val,1.647881160665531,5.195958753573607,2.377389978466511
9,train,1.4298276821772258,4.177979189612863,2.0628053064028444
9,val,1.6188813680080099,5.047440928459586,2.335552121412697
10,train,1.3939950227737428,4.030921552016011,2.0111097063795764
10,val,1.5970321953924442,4.938354583200353,2.3040304284326933
