epoch,split,loss,perplexity,bpc
1,train,3.2982803662618,27.066055177006465,4.758412727867333
1,val,2.719821213036339,15.177608443835682,3.923872576152131
2,train,2.4864060719807943,12.018006562659732,3.587125709682899
2,val,2.3424493848593624,10.406695372873795,3.379440111070005
3,train,2.184180720647176,8.883367611548291,3.1511066940829635
3,val,2.134020443248103,8.448766405931124,3.078740710629706
4,train,1.9768022775650025,7.219619694063592,2.8519228426610375
4,val,1.9965049080992112,7.363275747397403,2.880347730025208
5,train,1.8300997177759806,6.2345083188327965,2.640275787167699
5,val,1.9028281928480821,6.7048302054972595,2.7452007974856363
6,train,1.7205609242121378,5.587661840216098,2.482244712908183
6,val,1.8353412162554743,6.267272275810539,2.6478376710308913
7,train,1.63949822584788,5.152583430292442,2.3652959599769905
7,val,1.780471718571483,5.932654301844886,2.5686777188261285
8,train,1.5780983527501424,4.84573217070573,2.276714667547673
8,val,1.73747061883602,5.682950879321332,2.5066402454850047
9,train,1.5238645792007446,4.58992910858631,2.1984718713992613
9,val,1.6994236460846615,5.470793369719397,2.451750066575782
10,train,1.479638147354126,4.391356369466554,2.134666617497931
10,val,1.6746013373090138,5.336667194828589,2.415939044801741
