epoch,split,loss,perplexity,bpc
1,train,3.1090290705362955,22.39928571291552,4.485380822042337
1,val,2.5047016719285997,12.239906913249667,3.613520680997686
2,train,2.2838967641194663,9.814852151791642,3.2949665354975046
2,val,2.1655159186857817,8.719099102810677,3.124179076854085
3,train,1.9961498181025188,7.360661585995365,2.8798354434479103
3,val,1.9856157423062417,7.283530783044908,2.864637984536273
4,train,1.8053042093912761,6.081821314292673,2.604503430184765
4,val,1.8692753817325884,6.483596564190235,2.6967943232814293
5,train,1.6749137798945108,5.33833485743572,2.4163898041703997
5,val,1.785247600481139,5.961055725139072,2.5755678599730607
6,train,1.5795624415079752,4.852831948784733,2.2788269011380193
6,val,1.72435912949077,5.60892528280993,2.487724364827944
7,train,1.5106719334920247,4.529773478470547,2.179438906859086
7,val,1.6745954809094266,5.336635941264548,2.4159305958030988
8,train,1.4595197200775147,4.3038919589824784,2.1056418622354784
8,val,1.640320355653409,5.156821264492168,2.366482042570394
9,train,1.4188884894053142,4.132524541718687,2.0470233872394794
9,val,1.6123617988114438,5.014640825511347,2.3261463712640786
10,train,1.3823901255925497,3.9844135043644524,1.9943673787662428
10,val,1.591247595173299,4.909870639735441,2.2956850143830074
