epoch,split,loss,perplexity,bpc
1,train,3.0258904774983724,20.61235137642667,4.365437186160039
1,val,2.473402440481066,11.862740532953877,3.5683654350046936
2,train,2.252504412333171,9.5115268177797,3.2496769452535745
2,val,2.1494108213137983,8.579801871331119,3.100944332742491
3,train,1.9779683589935302,7.228043268842435,2.853605142555247
3,val,1.9759447534144121,7.213431349524518,2.850685696821538
4,train,1.79352605342865,6.010608873178409,2.5875111429866675
4,val,1.8635237749203903,6.446412502582166,2.688496508656328
5,train,1.6623304843902589,5.271581879447336,2.398235946148375
5,val,1.7759415073630183,5.90583891038479,2.562142005581497
6,train,1.5728005488713583,4.820128314006558,2.2690715521641485
6,val,1.7127031415788283,5.543927261485335,2.4709083288707236
7,train,1.5017599582672119,4.489583601053034,2.1665816443977235
7,val,1.6675787202188992,5.2993211116862025,2.40580754995177
8,train,1.4421331326166789,4.229708730361016,2.0805583187277485
8,val,1.6291481877232767,5.0995290265122915,2.3503640113016133
9,train,1.4046954393386841,4.074285685146025,2.0265471442932634
9,val,1.599441887790534,4.950268847789837,2.3075068797054854
10,train,1.3649411837259928,3.915492750525563,1.9691938768666013
10,val,1.5757621751467927,4.8344248927840825,2.2733442757046842
