epoch,split,loss,perplexity,bpc
1,train,3.0315285682678224,20.728893914441,4.373571231753207
1,val,2.4752774777658004,11.885004480094894,3.571070541996862
2,train,2.2539547602335612,9.525331849358741,3.2517693549770312
2,val,2.1464880655304506,8.554761816599488,3.0967276874681255
3,train,1.977634644508362,7.225631568536244,2.853123694322422
3,val,1.974497600618103,7.202999961902448,2.8485978966588945
4,train,1.7946683804194132,6.017478877073539,2.589159172471315
4,val,1.8650024856330734,6.455951933098926,2.690629837268425
5,train,1.6643290758132934,5.282128153112995,2.40111930408315
5,val,1.7775499674831126,5.915345860473232,2.5644625230202247
6,train,1.574977978070577,4.830635237030667,2.272212918471748
6,val,1.7136828713292964,5.549361473552781,2.4723217801231354
7,train,1.5034794489542642,4.497310039109231,2.1690623450847886
7,val,1.6680047528363797,5.301579276322023,2.4064221850962664
8,train,1.4448419014612834,4.24118156520527,2.084466246106774
8,val,1.6308634265409998,5.108283442461379,2.3528385778378826
9,train,1.4079684257507323,4.08764261343093,2.0312690655588224
9,val,1.602459482107874,4.965229311887613,2.311860348062526
10,train,1.368847171465556,3.930816524958428,1.9748290260082422
10,val,1.5780486876699908,4.845491513005271,2.2766430159828324
