epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.54840915145874,256.82865525094707,0.004884375,0.0
1,val,5.559740905761719,259.7555264432632,0.0036875,0.0
2,train,5.4834275115966795,240.67019519605225,0.025484375,0.0
2,val,5.527956314086914,251.62913426465917,0.02309375,0.0
3,train,5.133907990264893,169.6789276272252,0.068796875,0.0
3,val,5.304683853149414,201.27735915072796,0.05540625,0.0
4,train,3.147215642547607,23.27117900984853,0.403078125,0.0
4,val,3.3550892181396486,28.648160012232744,0.36103125,0.0
5,train,0.22193699626922608,1.2484927156873717,0.965803125,0.58355
5,val,0.29817406940460206,1.3473963079406643,0.94378125,0.3875
6,train,0.030263906794786452,1.030726513793831,0.9976375,0.96295
6,val,0.0626324520111084,1.064635462687667,0.988625,0.836
7,train,0.008630449321866036,1.0086677990205202,0.999859375,0.99775
7,val,0.03018337595462799,1.0306435118638542,0.99359375,0.901
8,train,0.003860199322551489,1.0038676594881097,1.0,1.0
8,val,0.020373046815395354,1.0205819938841552,0.9955,0.928
9,train,0.002594975009933114,1.0025983448718563,1.0,1.0
9,val,0.01753031212091446,1.0176848698700578,0.99565625,0.931
10,train,0.001939834425598383,1.0019417171215736,1.0,1.0
10,val,0.015925899982452394,1.0160533930422928,0.9958125,0.934
11,train,0.0015200461143627764,1.0015212019700348,1.0,1.0
11,val,0.01479973417520523,1.0149097925154806,0.99621875,0.94
12,train,0.0012262540511786939,1.0012270062080915,1.0,1.0
12,val,0.014002631902694702,1.0141011279504715,0.99640625,0.943
13,train,0.0010110840687528252,1.0010115953865637,1.0,1.0
13,val,0.013306994795799255,1.0133959268861765,0.996375,0.9425
14,train,0.000847311873268336,1.0008476709433813,1.0,1.0
14,val,0.012855453670024872,1.012938440243285,0.996625,0.9465
15,train,0.0007191475749015808,1.0007194062235172,1.0,1.0
15,val,0.012467570543289185,1.012545614704017,0.9965,0.9445
16,train,0.0006169981747865677,1.0006171885573136,1.0,1.0
16,val,0.012039983808994294,1.0121127561801775,0.99659375,0.946
17,train,0.0005341642503626645,1.0005343069414916,1.0,1.0
17,val,0.011763012886047364,1.0118324691934364,0.9966875,0.947
18,train,0.0004661152645945549,1.0004662239131947,1.0,1.0
18,val,0.011436993688344955,1.011502646150864,0.996875,0.95
19,train,0.00040933431880548594,1.0004094181075298,1.0,1.0
19,val,0.011246764093637467,1.0113102467130548,0.996625,0.946
20,train,0.00036152813606895505,1.0003615934952417,1.0,1.0
20,val,0.010999915450811385,1.0110606369603594,0.99675,0.948
