epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.549129152679443,257.01363878243217,0.005053125,0.0
1,val,5.562792724609375,260.5494641154203,0.0038125,0.0
2,train,5.4670349197387695,236.75714703935947,0.03020625,0.0
2,val,5.5122903594970705,247.71784073999922,0.02640625,0.0
3,train,5.138978594970703,170.54148739783682,0.066921875,0.0
3,val,5.281388000488281,196.6426260799534,0.05628125,0.0
4,train,2.6177610095977784,13.705003835249252,0.50708125,0.0
4,val,2.7948181076049803,16.359652786085576,0.4665,0.0
5,train,0.19785262863636016,1.2187827669076963,0.9717,0.63625
5,val,0.2589686317443848,1.2955931636930988,0.95359375,0.4725
6,train,0.026463772270083428,1.0268170473371871,0.998934375,0.98325
6,val,0.050741297245025636,1.0520506896630204,0.992625,0.8895
7,train,0.009235182443261146,1.009277958320247,0.999965625,0.99945
7,val,0.024680663406848907,1.0249877521600654,0.996125,0.939
8,train,0.0051328887142241,1.0051460845554345,1.0,1.0
8,val,0.016568456947803498,1.0167064750258792,0.9974375,0.9595
9,train,0.0035906856045126914,1.003597139838798,1.0,1.0
9,val,0.013692877769470214,1.0137870545798546,0.99759375,0.962
10,train,0.0027075131576508285,1.0027111817816023,1.0,1.0
10,val,0.011826635211706162,1.0118968463761948,0.99765625,0.963
11,train,0.002132940925657749,1.0021352172622968,1.0,1.0
11,val,0.010574381321668625,1.0106304876807906,0.997875,0.9665
12,train,0.0017229096313938499,1.001724394692946,1.0,1.0
12,val,0.009556388914585113,1.0096021970028177,0.99796875,0.968
13,train,0.0014193432191386818,1.0014203509634474,1.0,1.0
13,val,0.00875909286737442,1.0087975659690875,0.99803125,0.9685
14,train,0.0011891670869663357,1.0011898744265006,1.0,1.0
14,val,0.00803823858499527,1.0080706319618293,0.99809375,0.9695
15,train,0.001008105048723519,1.0010086133574134,1.0,1.0
15,val,0.007460287094116211,1.0074881843666164,0.99821875,0.9715
16,train,0.0008637848634272814,1.0008641580330109,1.0,1.0
16,val,0.006998909339308738,1.0070234589453477,0.99828125,0.9725
17,train,0.0007464049720205366,1.0007466836015309,1.0,1.0
17,val,0.006602721810340881,1.0066245678325954,0.99821875,0.9715
18,train,0.0006498908013105393,1.0006501020260925,1.0,1.0
18,val,0.006265493139624595,1.0062851623995128,0.99825,0.972
19,train,0.0005693276753649116,1.0005694897731268,1.0,1.0
19,val,0.005995837539434433,1.0060138485523766,0.998375,0.974
20,train,0.0005014508157037198,1.000501576563182,1.0,1.0
20,val,0.0056223259270191195,1.0056381608639167,0.998375,0.974
