epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.547739832305909,256.6568124282532,0.005165625,0.0
1,val,5.5610555725097655,260.0972429689592,0.0035,0.0
2,train,5.491167659759522,242.54024606444344,0.01988125,0.0
2,val,5.540038208007813,254.68773038344614,0.01696875,0.0
3,train,5.2887062728881835,198.086989057576,0.04996875,0.0
3,val,5.453042114257813,233.4673209612381,0.04171875,0.0
4,train,4.918114039611816,136.74447518046173,0.084284375,0.0
4,val,5.346587112426758,209.89074059171398,0.05484375,0.0
5,train,4.140707514953613,62.847271107050666,0.183103125,0.0
5,val,4.907038101196289,135.23825857395894,0.07775,0.0
6,train,0.9236948472976685,2.518578984154,0.83993125,0.05895
6,val,1.2941046600341797,3.6477285544745532,0.726875,0.003
7,train,0.1193832198023796,1.1268016482643002,0.9883875,0.8315
7,val,0.22482948684692383,1.2521091969012987,0.95884375,0.5095
8,train,0.027137817215919496,1.0275094014909387,0.999553125,0.9929
8,val,0.07452813696861267,1.077375657180836,0.98778125,0.82
9,train,0.010982711444795132,1.0110432428167033,0.99999375,0.9999
9,val,0.041472420811653136,1.0423444144421319,0.99390625,0.907
10,train,0.00649802305623889,1.0065191810115255,1.0,1.0
10,val,0.02963934290409088,1.0300829602232138,0.9951875,0.9255
11,train,0.004497972245514393,1.0045081033067238,1.0,1.0
11,val,0.023543426930904388,1.023822761261542,0.9963125,0.9445
12,train,0.0033601974442601205,1.0033658492362985,1.0,1.0
12,val,0.019511905312538148,1.0197035066773374,0.99659375,0.9475
13,train,0.0026120437867939474,1.0026154581453368,1.0,1.0
13,val,0.01688260477781296,1.01702592133282,0.9968125,0.951
14,train,0.00209200434461236,1.0020941941124364,1.0,1.0
14,val,0.014773037374019624,1.014882698032198,0.9970625,0.9545
15,train,0.001717813538759947,1.0017192898256444,1.0,1.0
15,val,0.013172391951084137,1.013259530091499,0.99746875,0.961
16,train,0.00142690084669739,1.0014279193540894,1.0,1.0
16,val,0.012063519835472106,1.0121365775731348,0.99765625,0.9635
17,train,0.0012070719845592975,1.0012078007891576,1.0,1.0
17,val,0.011017576575279235,1.0110784935857968,0.99784375,0.9665
18,train,0.001028104287199676,1.0010286329675764,1.0,1.0
18,val,0.010035959959030151,1.01008648909986,0.997875,0.967
19,train,0.0008860857292078435,1.0008864784191447,1.0,1.0
19,val,0.009139651507139206,1.0091815456573505,0.9980625,0.97
20,train,0.0007688121479004622,1.0007691077597116,1.0,1.0
20,val,0.008370364755392075,1.0084054942054914,0.9981875,0.972
