epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.549818740844726,257.19093346918595,0.00498125,0.0
1,val,5.561831909179688,260.2992443968341,0.00390625,0.0
2,train,5.507040781402588,246.4208339374698,0.0137375,0.0
2,val,5.555089538574219,258.5501136927306,0.00984375,0.0
3,train,5.321073480987549,204.60340200864994,0.0442625,0.0
3,val,5.502442276000976,245.2902678509355,0.0350625,0.0
4,train,4.995604571533203,147.7622512356437,0.071834375,0.0
4,val,5.474047012329102,238.42314431305073,0.04478125,0.0
5,train,4.411533592987061,82.39572817103786,0.1574,0.0
5,val,5.3613583374023435,213.0140950369327,0.0631875,0.0
6,train,2.532315746307373,12.58261055837087,0.5244375,0.0
6,val,3.4748519744873048,32.293047987812926,0.332625,0.0
7,train,0.25284751427173613,1.2876869079873472,0.971178125,0.6312
7,val,0.49918428039550783,1.647376924816465,0.906625,0.2075
8,train,0.04692858844995498,1.048047163734794,0.998503125,0.9768
8,val,0.13862127923965453,1.1486889852494164,0.97484375,0.675
9,train,0.01747519460916519,1.0176287791580902,0.999996875,0.99995
9,val,0.07279349350929261,1.0755084145122267,0.9881875,0.831
10,train,0.01003626502007246,1.0100867972379441,1.0,1.0
10,val,0.051306766629219056,1.0526457603499153,0.99125,0.869
11,train,0.006907492555677891,1.0069314043074238,1.0,1.0
11,val,0.040129498481750486,1.0409455663349363,0.9931875,0.8955
12,train,0.005105343455076218,1.0051183979273735,1.0,1.0
12,val,0.033573899984359744,1.0341438641178948,0.99428125,0.91
13,train,0.003911517195031047,1.003919177162523,1.0,1.0
13,val,0.028516328573226928,1.0289268116041457,0.9951875,0.9245
14,train,0.0031015218529850245,1.003106336548228,1.0,1.0
14,val,0.024461654782295228,1.0247632955821409,0.99578125,0.9325
15,train,0.0025073690958321094,1.0025105151746343,1.0,1.0
15,val,0.021394424736499787,1.0216249263228014,0.99628125,0.941
16,train,0.002069676624238491,1.0020718198832657,1.0,1.0
16,val,0.01918636691570282,1.0193716080583295,0.99646875,0.944
17,train,0.001727875868231058,1.0017293695058886,1.0,1.0
17,val,0.017135872602462767,1.0172835338966382,0.99678125,0.949
18,train,0.0014560617474839092,1.0014571223200808,1.0,1.0
18,val,0.015411630094051361,1.0155310017138217,0.9970625,0.9535
19,train,0.0012389047496020793,1.001239672509119,1.0,1.0
19,val,0.01410847333073616,1.01420846754242,0.9973125,0.957
20,train,0.0010626997963525354,1.0010632646618576,1.0,1.0
20,val,0.012729480862617493,1.0128108455811344,0.99759375,0.9615
