epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.545687843322754,256.13069545442414,0.00530625,0.0
1,val,5.561531448364258,260.2210464219089,0.00378125,0.0
2,train,5.48158221282959,240.22649628601184,0.018225,0.0
2,val,5.547522994995117,256.6011656886127,0.0140625,0.0
3,train,5.235657076263427,187.85249921875706,0.051046875,0.0
3,val,5.470031234741211,237.46760988467096,0.04040625,0.0
4,train,4.833943849945069,125.70574893911356,0.087696875,0.0
4,val,5.394759979248047,220.24927635478346,0.04884375,0.0
5,train,4.119516867828369,61.52950819734992,0.20213125,0.0
5,val,5.04897102355957,155.8620036156464,0.096,0.0
6,train,1.142648613357544,3.135060942712128,0.801440625,0.024
6,val,1.6303605575561524,5.105715290928352,0.66715625,0.002
7,train,0.13664588779211045,1.1464221145676885,0.986684375,0.80885
7,val,0.259129358291626,1.2958014166443692,0.95334375,0.4585
8,train,0.030771560418605806,1.0312498986816026,0.99939375,0.99045
8,val,0.08206750249862671,1.0855290832819042,0.98759375,0.8165
9,train,0.01311050913631916,1.0131968286797794,0.999996875,0.99995
9,val,0.045038029909133914,1.046067641009612,0.9935,0.9
10,train,0.007859312929213047,1.0078902783983517,1.0,1.0
10,val,0.03256084191799164,1.0330967468194316,0.99559375,0.932
11,train,0.0054977324113249775,1.0055128726751483,1.0,1.0
11,val,0.02581396186351776,1.026150027675818,0.99621875,0.941
12,train,0.004072687136381864,1.0040809917969047,1.0,1.0
12,val,0.021241719722747802,1.021468930985316,0.996875,0.951
13,train,0.003137473598495126,1.0031424006202385,1.0,1.0
13,val,0.01805416303873062,1.018218124684004,0.99696875,0.9525
14,train,0.00249320464245975,1.0024963152617539,1.0,1.0
14,val,0.01573382306098938,1.0158582513762204,0.99740625,0.959
15,train,0.002015745347738266,1.0020177783281525,1.0,1.0
15,val,0.013855247795581817,1.0139516765748555,0.99771875,0.964
16,train,0.0016558549027889968,1.0016572265875177,1.0,1.0
16,val,0.012216125130653382,1.0122910467604274,0.99796875,0.9685
17,train,0.0013767540398985148,1.00137770220082,1.0,1.0
17,val,0.011007725894451141,1.0110685338233198,0.9979375,0.9675
18,train,0.0011601072251796723,1.0011607804098637,1.0,1.0
18,val,0.009969469964504242,1.010019330687435,0.99815625,0.971
19,train,0.0009856631513684988,1.0009861490769323,1.0,1.0
19,val,0.008952375382184982,1.0089925677441824,0.9983125,0.973
20,train,0.0008415165604092181,1.0008418707348108,1.0,1.0
20,val,0.00817736941576004,1.0082108954235833,0.9985,0.9765
