epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.554707263183594,258.45129523615793,0.004171875,0.0
1,val,5.556038528442383,258.795591590634,0.00334375,0.0
2,train,5.545061769104004,255.97038881653245,0.00501875,0.0
2,val,5.549833541870117,257.1947401868942,0.0044375,0.0
3,train,4.930129058074951,138.39737248590916,0.076971875,0.0
3,val,4.990713180541992,147.04125307060514,0.071,0.0
4,train,4.190042861938476,66.0256208858617,0.0904875,0.0
4,val,4.310802719116211,74.50026773341801,0.07809375,0.0
5,train,3.798317728424072,44.62604817878044,0.0984125,0.0
5,val,3.9812654266357423,53.58479897468393,0.077875,0.0
6,train,3.534092448043823,34.26390432582011,0.10863125,0.0
6,val,3.7784348602294924,43.74751714533663,0.07684375,0.0
7,train,3.272376839828491,26.373951562689733,0.139990625,0.0
7,val,3.577453109741211,35.78229112616915,0.0948125,0.0
8,train,0.002592817868664861,1.0025961821279237,0.99993125,0.9989
8,val,0.002786062754690647,1.0027899474343431,0.99990625,0.9985
9,train,0.0005608859698288143,1.000561043295777,0.999996875,0.99995
9,val,0.0005944580528885127,1.0005946347780936,1.0,1.0
10,train,0.00029364790520630777,1.0002936910239728,1.0,1.0
10,val,0.00031004855688661337,1.0003100966269083,1.0,1.0
11,train,0.00018979488825425505,1.0001898129004436,1.0,1.0
11,val,0.00020019127521663904,1.0002002113148272,1.0,1.0
12,train,0.00014046069311443718,1.0001404705581796,1.0,1.0
12,val,0.0001478337566368282,1.000147844684585,1.0,1.0
13,train,0.00010569449688773602,1.0001057000827478,1.0,1.0
13,val,0.00011108121182769537,1.000111087381574,1.0,1.0
14,train,8.389483195496723e-05,1.0000838983512248,1.0,1.0
14,val,8.818296762183309e-05,1.000088186855854,1.0,1.0
15,train,6.689904349623248e-05,1.000066901281287,1.0,1.0
15,val,7.01670025009662e-05,1.0000701694642626,1.0,1.0
16,train,5.6556103302864356e-05,1.0000565577026295,1.0,1.0
16,val,5.920239328406751e-05,1.0000592041457803,1.0,1.0
17,train,4.874056742992252e-05,1.0000487417552706,1.0,1.0
17,val,5.104658449999988e-05,1.000051047887399,1.0,1.0
18,train,4.345312918885611e-05,1.0000434540732897,1.0,1.0
18,val,4.540487530175596e-05,1.0000454059061188,1.0,1.0
