epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.863281231689453,351.87684129473354,0.0039875,0.0
1,val,5.883493606567383,359.0614725528543,0.00225,0.0
2,train,5.802286915588379,331.0557915113701,0.00879375,0.0
2,val,5.891629989624024,361.9948515995783,0.003,0.0
3,train,5.612710222625733,273.88552376966436,0.028834375,0.0
3,val,5.920011642456054,372.41604968843484,0.00496875,0.0
4,train,5.176800418090821,177.11520881479623,0.0978125,0.0
4,val,6.007358673095703,406.4084437920107,0.00484375,0.0
5,train,4.619480625915528,101.44133244613847,0.210540625,0.0
5,val,6.139053314208985,463.6144658175201,0.004,0.0
