epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.8712134979248045,354.67912160520996,0.00333125,0.0
1,val,5.879559967041016,357.6518284855147,0.00275,0.0
2,train,5.81992749786377,336.9476233219686,0.007575,0.0
2,val,5.884862030029297,359.5531570357297,0.00346875,0.0
3,train,5.625009047698975,277.2747932106473,0.029478125,0.0
3,val,5.917906860351563,371.63301939477554,0.00315625,0.0
4,train,5.139748310852051,170.6728064218013,0.10448125,0.0
4,val,6.0336968688964845,417.2547176031012,0.00290625,0.0
5,train,4.576123609161377,97.13712200239516,0.21416875,0.0
5,val,6.1804253845214845,483.1974573603947,0.0029375,0.0
