epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.8759685981750485,356.36967256935105,0.00355,0.0
1,val,5.885728286743164,359.8647573154355,0.00290625,0.0
2,train,5.851632203674316,347.80160049377014,0.004890625,0.0
2,val,5.879021408081055,357.4592637471245,0.0024375,0.0
3,train,5.764613544464111,318.8158120904358,0.014359375,0.0
3,val,5.888270431518555,360.7807494270728,0.00421875,0.0
4,train,5.433247008514404,228.89125196531083,0.0524,0.0
4,val,5.923882614135742,373.8604554931904,0.01546875,0.0
5,train,4.919720629119873,136.96434399174166,0.12401875,0.0
5,val,6.017135650634765,410.40137762408773,0.01734375,0.0
6,train,4.369684421539307,79.01869116749945,0.222565625,0.0
6,val,6.172071685791016,479.17778431887547,0.01365625,0.0
