epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.8679393272399905,353.5197406640118,0.00365,0.0
1,val,5.8811603546142575,358.22466828795575,0.00303125,0.0
2,train,5.834849029541016,342.0130962783594,0.01239375,0.0
2,val,5.876649078369141,356.6122576011037,0.0089375,0.0
3,train,5.682651052856445,293.72708469203803,0.033171875,0.0
3,val,5.8336748046875,341.61173169273417,0.0273125,0.0
4,train,5.286770283508301,197.7038657314768,0.07285625,0.0
4,val,5.705537780761719,300.52705426711634,0.04896875,0.0
5,train,3.6861253898620605,39.889988988157405,0.324475,0.0
5,val,4.212954711914063,67.55585329273855,0.24565625,0.0
6,train,0.5727633233070374,1.773160102417348,0.908365625,0.2213
6,val,0.7874183273315429,2.1977153144654133,0.84846875,0.071
7,train,0.11561122069358826,1.1225593594360335,0.987421875,0.81935
7,val,0.21508125591278077,1.2399626471694414,0.95840625,0.51
8,train,0.03319834967851639,1.033755563991119,0.998615625,0.97805
8,val,0.09265268707275391,1.0970806388039607,0.98178125,0.75
9,train,0.014136426819860935,1.0142368186040411,0.999946875,0.99915
9,val,0.0568798611164093,1.058528632308002,0.9885625,0.8325
10,train,0.008027251914143562,1.0080595566824408,0.99999375,0.9999
10,val,0.04137515568733215,1.042243035613468,0.9918125,0.8755
11,train,0.005469813971966505,1.0054848007168529,1.0,1.0
11,val,0.03464033663272858,1.0352473013026253,0.99259375,0.889
12,train,0.004094890287145972,1.0041032858060426,1.0,1.0
12,val,0.029944592356681822,1.030397440477966,0.99375,0.904
13,train,0.003193214237317443,1.0031983179768988,1.0,1.0
13,val,0.026988494515419008,1.027355982467075,0.99421875,0.9115
14,train,0.0025641312416642905,1.0025674214377405,1.0,1.0
14,val,0.0244607115983963,1.024762329042356,0.99471875,0.9185
15,train,0.002097408453375101,1.0020996095530845,1.0,1.0
15,val,0.022678618907928466,1.0229377338680516,0.995,0.9245
16,train,0.0017361589904874564,1.0017376669870885,1.0,1.0
16,val,0.021065654277801514,1.0212891014348329,0.99515625,0.926
17,train,0.0014609567953273654,1.0014620245126058,1.0,1.0
17,val,0.0195139701962471,1.01970561224867,0.9954375,0.9305
18,train,0.0012437208995223045,1.0012444946410999,1.0,1.0
18,val,0.01820430213212967,1.018371010506909,0.99565625,0.935
19,train,0.001069373306352645,1.0010699452898566,1.0,1.0
19,val,0.017305742025375367,1.0174563539414847,0.9959375,0.939
20,train,0.0009258403378538787,1.000926269060319,1.0,1.0
20,val,0.016474643111228943,1.0166110983646819,0.9959375,0.938
