epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.867818060302734,353.4768730070691,0.003453125,0.0
1,val,5.880882064819336,358.12499188858783,0.0025625,0.0
2,train,5.833225160980224,341.45816265551,0.0113625,0.0
2,val,5.876789321899414,356.6622736701815,0.00796875,0.0
3,train,5.679974787902832,292.94204414616394,0.03356875,0.0
3,val,5.840804656982422,344.0560764355984,0.026,0.0
4,train,5.362282263183594,213.2109951976676,0.0621,0.0
4,val,5.795220932006836,328.72480179001315,0.0416875,0.0
5,train,4.852657111358643,128.08026162546435,0.120803125,0.0
5,val,5.720396240234375,305.02576249420525,0.05665625,0.0
6,train,3.9727049129486085,53.12804339019701,0.26545,0.0
6,val,5.136219787597656,170.07164468576084,0.1306875,0.0
7,train,1.4986856185913087,4.475802291128551,0.74046875,0.00505
7,val,2.219779197692871,9.205298090413578,0.56178125,0.0
8,train,0.2359155487537384,1.2660673846834605,0.97095625,0.6312
8,val,0.5025014629364014,1.6528506484406902,0.9035625,0.1975
9,train,0.05288536970615387,1.0543087824666888,0.9963625,0.94345
9,val,0.17604301834106445,1.19248935646114,0.965875,0.5765
10,train,0.016167677411437036,1.016299081519141,0.999896875,0.99835
10,val,0.08891469311714173,1.0929874130000317,0.98125,0.7435
11,train,0.008139055421948434,1.0081722675775735,0.999996875,0.99995
11,val,0.06105080437660217,1.062952915475661,0.9868125,0.8125
12,train,0.005464754598587751,1.0054797136066882,1.0,1.0
12,val,0.05058421301841736,1.0518854420733166,0.9886875,0.838
13,train,0.004062834073230624,1.0040710985722228,1.0,1.0
13,val,0.04441727089881897,1.0454184866011258,0.9893125,0.8445
14,train,0.0031759174924343822,1.003180966061592,1.0,1.0
14,val,0.03966499722003937,1.0404621580865634,0.99034375,0.859
15,train,0.0025593910049647095,1.0025626690421192,1.0,1.0
15,val,0.03593923532962799,1.0365928563539293,0.990875,0.8665
16,train,0.0021040454119443893,1.0021062604687465,1.0,1.0
16,val,0.032755116105079654,1.033297470347172,0.9914375,0.8735
17,train,0.0017634246559813619,1.0017649804035869,1.0,1.0
17,val,0.030569363832473755,1.031041404551751,0.99196875,0.8815
18,train,0.0014950446125119924,1.0014961627488606,1.0,1.0
18,val,0.02844849193096161,1.028857015031519,0.99265625,0.89
19,train,0.0012820026997476816,1.0012828248164898,1.0,1.0
19,val,0.02676926589012146,1.027130781313519,0.99259375,0.89
20,train,0.0011074826769530773,1.0011080961623469,1.0,1.0
20,val,0.025176984369754792,1.0254966013339946,0.99303125,0.895
