epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.862826748657227,351.7169555763569,0.003971875,0.0
1,val,5.881148193359375,358.2203118529495,0.0035,0.0
2,train,5.793621217346192,328.1993562987553,0.009528125,0.0
2,val,5.891358810424805,361.8966994346145,0.00296875,0.0
3,train,5.535046063995361,253.41946088109938,0.038984375,0.0
3,val,5.932320053100586,377.02822540756443,0.004,0.0
4,train,5.040472833251953,154.54307085567646,0.120725,0.0
4,val,6.01858219909668,410.9954726957181,0.00434375,0.0
5,train,4.397087540435791,81.21399141865352,0.24349375,0.0
5,val,6.146170043945313,466.92565310976573,0.005625,0.0
