epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.8759415802001955,356.3600443125678,0.0030625,0.0
1,val,5.877244155883789,356.8245326908521,0.00265625,0.0
2,train,5.870016598510742,354.25486032206965,0.003078125,0.0
2,val,5.87203141784668,354.9693393959209,0.00296875,0.0
3,train,5.86436849975586,352.2596338089097,0.00370625,0.0
3,val,5.868280227661133,353.6402762366328,0.003625,0.0
4,train,5.520172602081299,249.6781284353903,0.064984375,0.0
4,val,5.567363311767578,261.74305377510177,0.06225,0.0
5,train,4.98095486831665,145.61335687249246,0.08236875,0.0
5,val,5.076923309326172,160.28016405599672,0.071875,0.0
6,train,4.594061490631104,98.89527783577888,0.091765625,0.0
6,val,4.745090270996093,115.0181878408756,0.0748125,0.0
7,train,4.301075508117676,73.77910106620436,0.098290625,0.0
7,val,4.5048148040771485,90.45159123172874,0.0788125,0.0
8,train,4.064505123138428,58.23608170093438,0.105534375,0.0
8,val,4.317342849731445,74.98910600590578,0.07803125,0.0
9,train,3.8459545303344727,46.80333824188145,0.11915625,0.0
9,val,4.1468275451660155,63.23307767472743,0.0838125,0.0
10,train,0.47656358966827395,1.6105304385430246,0.932365625,0.32335
10,val,0.5281141738891602,1.6957314368028478,0.9238125,0.2735
11,train,0.0023446165069937706,1.0023473672696839,0.999996875,0.99995
11,val,0.002471489392220974,1.0024745460397675,1.0,1.0
12,train,0.0008419668922200799,1.0008423214458444,1.0,1.0
12,val,0.000886345986276865,1.0008867389069598,1.0,1.0
13,train,0.00046328929378651083,1.0004633966288465,1.0,1.0
13,val,0.00048601114936172964,1.0004861292719158,1.0,1.0
14,train,0.000291283320216462,1.000291325747322,1.0,1.0
14,val,0.0003041824996471405,1.000304228767835,1.0,1.0
15,train,0.0002090407180134207,1.000209062568547,1.0,1.0
15,val,0.0002187143499031663,1.0002187382696304,1.0,1.0
16,train,0.00015224079857580365,1.0001522523877944,1.0,1.0
16,val,0.00015898640733212234,1.0001589990463409,1.0,1.0
17,train,0.00011815582987619565,1.000118162810551,1.0,1.0
17,val,0.00012330837221816182,1.000123315975008,1.0,1.0
18,train,9.519354796502739e-05,1.0000951980790145,1.0,1.0
18,val,9.942248463630676e-05,1.0000994274272152,1.0,1.0
19,train,7.755901713389903e-05,1.0000775620249123,1.0,1.0
19,val,8.072960050776601e-05,1.0000807328592296,1.0,1.0
20,train,6.612130017019808e-05,1.0000661234862316,1.0,1.0
20,val,6.880610948428511e-05,1.000068808476679,1.0,1.0
