epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.955672785949707,385.93647599080793,0.0034875,0.0
1,val,5.969061782836914,391.1385256679856,0.00290625,0.0
2,train,5.9234308357238765,373.6915915577608,0.011025,0.0
2,val,5.95897331237793,387.2123739386325,0.00946875,0.0
3,train,5.762231729125976,318.05735530971907,0.0393125,0.0
3,val,5.885181106567383,359.66790031730534,0.03475,0.0
4,train,5.433250122833252,228.891964806761,0.070146875,0.0
4,val,5.735198455810547,309.57440150213637,0.0500625,0.0
5,train,4.687100541687012,108.53802166506682,0.184009375,0.0
5,val,5.114907897949219,166.4854466261071,0.13525,0.0
6,train,1.462249312210083,4.315655876657616,0.779134375,0.0146
6,val,1.6807005462646485,5.369316108236533,0.723625,0.0025
7,train,0.1524098037958145,1.1646374114833342,0.985746875,0.7965
7,val,0.22258743381500243,1.2493050463818354,0.96778125,0.588
8,train,0.03511883904337883,1.0357427881682937,0.99908125,0.9854
8,val,0.0696805031299591,1.0721655729812622,0.99025,0.8525
9,train,0.014781181578338146,1.014890963477908,0.999990625,0.99985
9,val,0.03709202611446381,1.037788520089016,0.9955,0.931
10,train,0.008895180541276932,1.008934860225095,1.0,1.0
10,val,0.0267563374042511,1.0271175021535657,0.99690625,0.952
11,train,0.0063420058384537695,1.0063621589386487,1.0,1.0
11,val,0.02134883904457092,1.0215783559051237,0.9970625,0.955
12,train,0.004817515231668949,1.00482913811515,1.0,1.0
12,val,0.017841268479824066,1.0180013746587482,0.99734375,0.9595
13,train,0.003811847986280918,1.0038191223187627,1.0,1.0
13,val,0.015215584039688111,1.0153319303820643,0.997625,0.964
14,train,0.003091405498608947,1.0030961888203798,1.0,1.0
14,val,0.013448513358831406,1.013539351369906,0.99784375,0.967
15,train,0.0025565446518361567,1.002559815398791,1.0,1.0
15,val,0.012014403313398361,1.0120868661654165,0.99803125,0.97
16,train,0.0021495505310595037,1.0021518624710495,1.0,1.0
16,val,0.010624006628990173,1.010680641773776,0.99828125,0.9745
17,train,0.0018282219270244241,1.0018298941436374,1.0,1.0
17,val,0.009787978321313858,1.009836037253071,0.99840625,0.9755
18,train,0.001566816908866167,1.0015680450077975,1.0,1.0
18,val,0.008778229504823685,1.0088168711470846,0.99865625,0.9795
19,train,0.0013569528814405202,1.001357873958574,1.0,1.0
19,val,0.008093004733324052,1.0081258416193815,0.99859375,0.9785
20,train,0.0011825849261134862,1.001183284455391,1.0,1.0
20,val,0.007369363024830818,1.007396583605557,0.9988125,0.982
