epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.954603987884521,385.52420818674557,0.00334375,0.0
1,val,5.964717651367187,389.44305383222496,0.002375,0.0
2,train,5.922717092132569,373.4249667413567,0.007196875,0.0
2,val,5.965154312133789,389.61314546812855,0.00534375,0.0
3,train,5.782465908813476,324.5585362102056,0.02524375,0.0
3,val,5.952621368408203,384.76061758792446,0.01825,0.0
4,train,5.449287963104248,232.5924924955389,0.05544375,0.0
4,val,5.948280776977539,383.0941482959871,0.03203125,0.0
5,train,4.9647933372497555,143.2789367943178,0.10638125,0.0
5,val,5.993829498291015,400.9470999543651,0.03190625,0.0
6,train,4.365282930755615,78.6716554241629,0.203490625,0.0
6,val,6.098807495117187,445.32639940868546,0.02846875,0.0
7,train,3.711986519241333,40.93504406298666,0.322159375,0.0
7,val,6.205723556518555,495.5774045071287,0.0290625,0.0
8,train,2.978311343383789,19.65459873763937,0.453821875,0.0
8,val,6.064350799560547,430.24327286533463,0.053625,0.0
