metric,value
experiment_name,imdb_mamba2_baseline__seed_42__12_layers
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,5.513333984375
seconds_train,56.54193359375
seconds_train_plus_test,62.055267578125004
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,12820290
model_trainable_params,12820290
train_loss_epoch_1,0.7291572093963623
train_loss_epoch_2,0.4497870206832886
train_loss_epoch_3,0.1847119927406311
test/accuracy,0.8360000252723694
test/f1_macro,0.8344175219535828
test/f1_weighted,0.8344175219535828
test/loss,0.405182808637619
confusion_matrix_0_0,9228
confusion_matrix_0_1,3272
confusion_matrix_1_0,828
confusion_matrix_1_1,11672
