metric,value
experiment_name,imdb_mamba2_baseline__seed_42__fixed_pooling
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,3.784835693359375
seconds_train,43.91805859375
seconds_train_plus_test,47.70289428710937
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,11151746
model_trainable_params,11151746
train_loss_epoch_1,0.6569615602493286
train_loss_epoch_2,0.36932820081710815
train_loss_epoch_3,0.15311028063297272
test/accuracy,0.864799976348877
test/f1_macro,0.8647758364677429
test/f1_weighted,0.8647758364677429
test/loss,0.3345324993133545
confusion_matrix_0_0,10977
confusion_matrix_0_1,1523
confusion_matrix_1_0,1857
confusion_matrix_1_1,10643
