metric,value
experiment_name,imdb_mamba2_baseline__seed_44
seed,44
model_lit_class,mamba_heads_lit.MambaHeadsLitModule
train_epochs,3
model_total_params,11151746
model_trainable_params,11151746
train_loss_epoch_1,0.6884551048278809
train_loss_epoch_2,0.38871219754219055
train_loss_epoch_3,0.1473311483860016
test/accuracy,0.8511599898338318
test/f1_macro,0.8507188558578491
test/f1_weighted,0.8507188558578491
test/loss,0.3747830390930176
confusion_matrix_0_0,11319
confusion_matrix_0_1,1181
confusion_matrix_1_0,2540
confusion_matrix_1_1,9960
