metric,value
experiment_name,imdb_multiscale_mamba2__seed_42__slow_stride_8
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,3.44521240234375
seconds_train,35.64123046875
seconds_train_plus_test,39.08644287109375
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,11152770
model_trainable_params,11152770
train_loss_epoch_1,0.6473156809806824
train_loss_epoch_2,0.3643344044685364
train_loss_epoch_3,0.13394175469875336
test/accuracy,0.8118399977684021
test/f1_macro,0.8091279864311218
test/f1_weighted,0.8091279864311218
test/loss,0.47950589656829834
confusion_matrix_0_0,8658
confusion_matrix_0_1,3842
confusion_matrix_1_0,862
confusion_matrix_1_1,11638
