metric,value
experiment_name,imdb_multiscale_mamba2_attention__seed_42__slow_stride_2
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba_attention
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,4.51154541015625
seconds_train,50.16395703125
seconds_train_plus_test,54.67550244140625
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,12250210
model_trainable_params,12250210
train_loss_epoch_1,0.6122344136238098
train_loss_epoch_2,0.32461512088775635
train_loss_epoch_3,0.10680334270000458
test/accuracy,0.8634399771690369
test/f1_macro,0.863433837890625
test/f1_weighted,0.863433837890625
test/loss,0.35389000177383423
confusion_matrix_0_0,10709
confusion_matrix_0_1,1791
confusion_matrix_1_0,1623
confusion_matrix_1_1,10877
