epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.549009924316406,256.9829972937056,0.005103125,0.0
1,val,5.56252407836914,260.4794778826805,0.00365625,0.0
2,train,5.510599436950684,247.299322998212,0.014178125,0.0
2,val,5.551870986938477,257.71929453577155,0.0110625,0.0
3,train,5.325600410461425,205.53172682479095,0.049,0.0
3,val,5.470145050048828,237.49463887186607,0.04340625,0.0
4,train,4.992185459136963,147.25789820194007,0.079578125,0.0
4,val,5.339378021240234,208.38306013615568,0.054875,0.0
5,train,4.051776571655274,57.499518373505296,0.214778125,0.0
5,val,4.559876770019531,95.57170180543143,0.14675,0.0
6,train,0.8742787677764893,2.397145771573517,0.848721875,0.06805
6,val,1.0992306632995605,3.0018556975933772,0.77659375,0.017
7,train,0.15350520040988921,1.1659138503362638,0.98124375,0.7421
7,val,0.23601353931427002,1.2661914534148395,0.954125,0.4665
8,train,0.04570767239332199,1.046768366935106,0.997940625,0.96775
8,val,0.09200783228874207,1.0963734091602984,0.9845625,0.781
9,train,0.018658030027151107,1.0188331786832252,0.9999625,0.9994
9,val,0.0511181275844574,1.0524472089870691,0.99246875,0.885
10,train,0.010721752789616585,1.0107794367544651,1.0,1.0
10,val,0.037038055062294004,1.0377325110621038,0.99434375,0.9125
11,train,0.007152112644910813,1.0071777500867316,1.0,1.0
11,val,0.029037965655326844,1.0294636779963806,0.99559375,0.931
12,train,0.005199897542595863,1.0052134404735984,1.0,1.0
12,val,0.024339965105056764,1.0246386000546888,0.995875,0.935
13,train,0.003909470255300402,1.0039171222025762,1.0,1.0
13,val,0.020919669270515442,1.0211400194200528,0.9963125,0.9415
14,train,0.003054125577583909,1.003058794170719,1.0,1.0
14,val,0.018511147618293762,1.018683541001557,0.99671875,0.948
15,train,0.002441199541836977,1.0024441816956222,1.0,1.0
15,val,0.01674977833032608,1.0168908423639156,0.99678125,0.949
16,train,0.00197951763831079,1.0019814781767777,1.0,1.0
16,val,0.015011759340763093,1.0151250017463451,0.9968125,0.9495
17,train,0.001633588500507176,1.0016349235330673,1.0,1.0
17,val,0.01371943712234497,1.0138139804655426,0.9970625,0.9535
18,train,0.0013664003832265736,1.0013673343335652,1.0,1.0
18,val,0.0128566672205925,1.01293966949605,0.9971875,0.956
19,train,0.001151943776756525,1.001152607518829,1.0,1.0
19,val,0.011887224197387695,1.0119581580371182,0.99728125,0.957
20,train,0.0009847314196638763,1.0009852164268358,1.0,1.0
20,val,0.011263837933540344,1.0113275138097069,0.99740625,0.959
