epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.542093315887451,255.21167934641863,0.00640625,0.0
1,val,5.5634630737304684,260.72418177406314,0.00475,0.0
2,train,5.297138070678711,199.76427984535601,0.0619125,0.0
2,val,5.41747705078125,225.30995923330357,0.0524375,0.0
3,train,4.640592086029053,103.60567289801202,0.13190625,0.0
3,val,4.929880416870117,138.36296547414605,0.1085625,0.0
4,train,3.670222966003418,39.26065867663469,0.2012875,0.0
4,val,4.102660949707031,60.501063881903235,0.134625,0.0
5,train,1.0146205677032472,2.7583166043909313,0.7592625,0.08205
5,val,1.2709313163757323,3.5641703873909947,0.68575,0.019
6,train,0.1949213361263275,1.2152153891798934,0.96736875,0.76445
6,val,0.29968196773529054,1.3494295771805669,0.934625,0.569
7,train,0.06327837316989898,1.0653233553977275,0.99190625,0.93675
7,val,0.12075018548965454,1.1283430007017756,0.9736875,0.804
8,train,0.022464832943677904,1.02271906751298,0.99876875,0.9904
8,val,0.06073821640014648,1.0626207011005595,0.987,0.8985
9,train,0.009917911578714848,1.0099672570635563,0.9999125,0.9993
9,val,0.035597182035446165,1.0362383469866931,0.992875,0.944
10,train,0.005988293842971325,1.0060062595178902,1.0,1.0
10,val,0.026374819695949556,1.0267257133799175,0.99525,0.963
11,train,0.004291268112510443,1.0043004887882632,1.0,1.0
11,val,0.02207545667886734,1.0223209225016603,0.996125,0.9695
12,train,0.0033937210947275163,1.0033994862861344,1.0,1.0
12,val,0.019742140531539918,1.0199383053659405,0.995875,0.9675
13,train,0.002773282741382718,1.0027771318473617,1.0,1.0
13,val,0.017677896916866304,1.0178350757677017,0.9964375,0.972
14,train,0.00231242666952312,1.0023151023901458,1.0,1.0
14,val,0.016316493272781372,1.0164503341964604,0.9966875,0.974
15,train,0.0019624315744265915,1.001964358403486,1.0,1.0
15,val,0.014953630536794663,1.0150659954591141,0.99675,0.9745
16,train,0.0016830096120014786,1.0016844266675398,1.0,1.0
16,val,0.013786927461624146,1.013882405424036,0.997125,0.9775
17,train,0.0014566287107765676,1.0014576901096692,1.0,1.0
17,val,0.012998862355947495,1.0130837148304908,0.9971875,0.978
18,train,0.0012725515943020583,1.0012733616316505,1.0,1.0
18,val,0.012439761459827423,1.0125174571300288,0.9971875,0.978
19,train,0.0011148140283301473,1.0011154356644705,1.0,1.0
19,val,0.011532043516635894,1.0115987938730362,0.99725,0.9785
20,train,0.0009841321229934693,1.0009846165399083,1.0,1.0
20,val,0.010952357530593872,1.0110125541626198,0.997375,0.9795
