epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,6.266445752716065,526.6023726826656,0.00365,0.0
1,val,6.314005126953125,552.2523662046325,0.0016875,0.0
2,train,6.166718402099609,476.6194635189228,0.0077875,0.0
2,val,6.283954528808594,535.9037257546955,0.0019375,0.0
3,train,5.890459464263916,361.57137533875544,0.036925,0.0
3,val,6.364875366210938,581.0724025485182,0.002375,0.0
4,train,5.464556121826172,236.17100068679176,0.1309625,0.0004
4,val,6.406031860351563,605.4862537065601,0.001875,0.0
5,train,4.9221210968017575,137.29351740006368,0.3092,0.0016
5,val,6.467255126953125,643.7143855004672,0.0018125,0.0
