epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.546913858795166,256.44490822551217,0.0055875,0.0
1,val,5.567088577270508,261.6711538060144,0.0030625,0.0
2,train,5.390428702545166,219.29737874937203,0.03486875,0.0
2,val,5.545508651733399,256.08480309990773,0.022625,0.0
3,train,4.879208741760254,131.52655123385622,0.1086375,0.0
3,val,5.365902572631836,213.98428390565758,0.07425,0.0
4,train,3.969006265258789,52.93190442331388,0.2671875,0.0
4,val,4.7937394104003905,120.75206700021707,0.162125,0.0
5,train,1.0071483491897584,2.7377826725473344,0.8103,0.16315
5,val,1.4293688888549805,4.176062800307111,0.7096875,0.041
6,train,0.17532765214443208,1.1916365949404335,0.97875,0.8434
6,val,0.33408742141723635,1.3966652366920473,0.9345,0.5855
7,train,0.048191787558794025,1.04937189249999,0.99610625,0.9695
7,val,0.13135520792007446,1.1403727788214453,0.971625,0.7985
8,train,0.01953984401524067,1.0197319962684344,0.9993375,0.99475
8,val,0.0773258912563324,1.0803941100209928,0.982375,0.87
9,train,0.009908360044658185,1.0099576103729746,0.9999,0.99925
9,val,0.053203192234039305,1.054643918803222,0.989,0.9155
10,train,0.005970457666367292,1.0059883163725998,1.0,1.0
10,val,0.04079635608196259,1.0416399603024682,0.99175,0.936
11,train,0.004401185870915651,1.0044108853139142,1.0,1.0
11,val,0.034983959078788755,1.035603096638707,0.9925,0.941
12,train,0.003481832681968808,1.0034879013026445,1.0,1.0
12,val,0.03130226647853852,1.031797334503043,0.993125,0.9455
13,train,0.002840044991672039,1.0028440817400606,1.0,1.0
13,val,0.027936575293540954,1.0283304607954333,0.9943125,0.955
14,train,0.0023659343998879193,1.0023687354312634,1.0,1.0
14,val,0.0259500732421875,1.0262897078766238,0.994625,0.958
15,train,0.002007423535361886,1.0020094397588994,1.0,1.0
15,val,0.023805978417396546,1.0240916027402363,0.99525,0.9625
16,train,0.0017183003347367048,1.0017197774586832,1.0,1.0
16,val,0.02198094630241394,1.022224307132068,0.9955625,0.965
17,train,0.0014872839314863085,1.001488390486752,1.0,1.0
17,val,0.020213374137878416,1.0204190478339283,0.9956875,0.966
18,train,0.0012963298786431551,1.001297170477412,1.0,1.0
18,val,0.019162868678569794,1.0193476549039862,0.995875,0.9675
19,train,0.0011379391953349114,1.0011385868937983,1.0,1.0
19,val,0.018003446221351624,1.0181664852108285,0.9961875,0.97
20,train,0.001003894998691976,1.0010043990699402,1.0,1.0
20,val,0.01675417274236679,1.016895311011096,0.9961875,0.97
