epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,6.276262348937988,531.7972719416359,0.0043375,0.0
1,val,6.3390982055664065,566.2854080225369,0.0021875,0.0
2,train,6.178655570220947,482.3430438899833,0.00655,0.0
2,val,6.285989013671875,536.9951236126774,0.002,0.0
3,train,6.0193343955993655,411.3047383525903,0.0184,0.0
3,val,6.345214599609375,569.7596467944375,0.0019375,0.0
4,train,5.747294176483154,313.341664942095,0.0539125,0.0
4,val,6.380023132324219,589.9413542153055,0.0020625,0.0
5,train,5.367293221282959,214.2820678698761,0.14045,0.001
5,val,6.424229614257812,616.6056103491567,0.002,0.0
