epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.5490183158874515,256.985153793833,0.004875,0.0
1,val,5.558991760253906,259.5610046291677,0.00428125,0.0
2,train,5.509006051635742,246.90559365313248,0.009221875,0.0
2,val,5.566218276977539,261.44352039327623,0.00428125,0.0
3,train,5.373796901702881,215.68023163590186,0.027059375,0.0
3,val,5.590603942871094,267.8973655702233,0.00428125,0.0
4,train,5.013706211853028,150.46134567827212,0.0773625,0.0
4,val,5.689973541259766,295.88579177161,0.00384375,0.0
5,train,4.563910745239258,95.958014345959,0.1529125,0.0
5,val,5.833309814453125,341.48706949834417,0.00428125,0.0
