experiment_name,model,input_seq_len,num_kv_pairs,vocab_size,params,best_val_answer_loss,best_val_answer_accuracy,test_answer_loss,test_answer_accuracy,test_exact_match
mqar_debug_small,Mamba2,64,2,128,1734720,3.21872725,0.26000000,3.27326149,0.26400000,0.04700000
mqar_mamba2_depth4_len128,Mamba2 depth=4,128,16,1024,2194368,6.27938397,0.00250000,6.28353717,0.00150000,0.00000000
mqar_mamba2_depth4_len128_easy_kv12_vocab_512,Mamba2 depth=4,128,12,512,1931712,0.00665706,0.99900000,0.00610644,0.99929167,0.99150000
mqar_mamba2_depth4_len128_easy_kv4_vocab256,Mamba2 depth=4,128,8,512,1931712,0.01095236,0.99737500,0.01264541,0.99762500,0.98100000
mqar_mamba2_depth6_len128,Mamba2 depth=6,128,16,1024,3028640,6.28395453,0.00193750,6.28525092,0.00137500,0.00000000
mqar_mamba2_depth6_len128_easy_kv12_vocab_512,Mamba2 depth=6,128,12,512,2765984,0.01432909,0.99566667,0.01289187,0.99583333,0.95250000
mqar_mamba2_depth6_len128_easy_kv4_vocab256,Mamba2 depth=6,128,8,512,2765984,0.05039835,0.98437500,0.05237131,0.98375000,0.87450000
mqar_ms_attention_stride4_len128,MS-attention stride=4,128,16,1024,3292832,6.28815973,0.00187500,6.28782611,0.00181250,0.00000000
mqar_ms_attention_stride4_len128_easy_kv12_vocab_512,MS-attention stride=4,128,12,512,3030176,0.00859943,0.99887500,0.00837039,0.99920833,0.99050000
mqar_ms_attention_stride4_len128_easy_kv4_vocab256,MS-attention stride=4,128,8,512,3030176,0.01675417,0.99618750,0.01811698,0.99600000,0.96850000
mqar_ms_gated_stride2_len128,MS-gated stride=2,128,16,1024,3160992,6.28598901,0.00200000,6.28845624,0.00143750,0.00000000
mqar_ms_gated_stride2_len128_easy_kv12_vocab_512,MS-gated stride=2,128,12,512,2898336,0.01000041,0.99775000,0.00915295,0.99795833,0.97550000
mqar_ms_gated_stride2_len128_easy_kv4_vocab256,MS-gated stride=2,128,8,512,2898336,0.01560654,0.99668750,0.01491327,0.99556250,0.96500000
