epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,6.244510379028321,515.1769217404167,0.002478125,0.0
1,val,6.259434799194336,522.923299897426,0.0020625,0.0
2,train,6.2197232292175295,502.5641177056392,0.003603125,0.0
2,val,6.260764175415039,523.6189239681655,0.002125,0.0
3,train,6.125654365539551,457.4439509105826,0.009603125,0.0
3,val,6.2789272155761715,533.2163307113079,0.002125,0.0
4,train,5.854921828460693,348.947621215097,0.0346625,0.0
4,val,6.332681930541992,562.6635967962039,0.00690625,0.0
5,train,5.458127376556397,234.65758736990796,0.081271875,0.0
5,val,6.431342010498047,621.0067866756809,0.00575,0.0
