epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.955759281921387,385.96985938504935,0.00334375,0.0
1,val,5.968756271362305,391.01904661227286,0.002625,0.0
2,train,5.927310939788819,375.14437046521397,0.010528125,0.0
2,val,5.960073455810547,387.638597499386,0.00871875,0.0
3,train,5.750856075286865,314.45974630784184,0.0407625,0.0
3,val,5.870709686279297,354.50047513919066,0.03465625,0.0
4,train,5.380716737365723,217.17787915578148,0.072540625,0.0
4,val,5.661081756591797,287.45943556384975,0.0520625,0.0
5,train,4.041092977905273,56.88848669735684,0.28846875,0.0
5,val,4.374516235351562,79.40141866029231,0.23590625,0.0
6,train,0.6972905343055725,2.0083038986062727,0.892425,0.166
6,val,0.8389696502685546,2.31398153781787,0.85328125,0.075
7,train,0.1206906153678894,1.12827578717381,0.987690625,0.82325
7,val,0.19040240383148194,1.209736302247895,0.9670625,0.5995
8,train,0.03288497393727303,1.0334316608293361,0.998978125,0.9838
8,val,0.07388147091865539,1.0766791801385864,0.98690625,0.809
9,train,0.014328128139674663,1.0144312677782574,0.99991875,0.9987
9,val,0.04440083134174347,1.0454013005255136,0.992625,0.884
10,train,0.008006439405679702,1.0080385766527098,0.999996875,0.99995
10,val,0.032107893943786624,1.032628913700832,0.99434375,0.91
11,train,0.005570331817120314,1.0055858749621536,1.0,1.0
11,val,0.026645958840847014,1.0270041366559064,0.99471875,0.917
12,train,0.004212242992222309,1.0042211269571617,1.0,1.0
12,val,0.022847658574581146,1.0231106655373354,0.99540625,0.927
13,train,0.0033221999991685154,1.0033277246218588,1.0,1.0
13,val,0.020712530732154847,1.020928523874164,0.995375,0.9265
14,train,0.0026860266342759133,1.0026896372358163,1.0,1.0
14,val,0.018447502970695497,1.0186187093096928,0.9960625,0.9375
15,train,0.002216596782952547,1.0022190552497425,1.0,1.0
15,val,0.016778523981571196,1.0169200739735635,0.99615625,0.939
16,train,0.0018536071741953493,1.001855326165921,1.0,1.0
16,val,0.01567099869251251,1.0157944327278199,0.99640625,0.943
17,train,0.001571475194580853,1.0015727106087806,1.0,1.0
17,val,0.014542064428329468,1.0146483146550551,0.99665625,0.947
18,train,0.0013443088829517365,1.0013452128711726,1.0,1.0
18,val,0.013477912068367005,1.0135691485568972,0.9966875,0.9475
19,train,0.0011616724053397775,1.0011623474080804,1.0,1.0
19,val,0.012889085412025452,1.0129725077004406,0.99671875,0.948
20,train,0.001010108457505703,1.0010106187888692,1.0,1.0
20,val,0.012130003273487091,1.012203870129448,0.997,0.9525
