epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,6.110001393890381,450.33934289086164,0.00285625,0.0
1,val,6.122306335449219,455.91497575393845,0.0024375,0.0
2,train,6.0833001182556155,438.4738251566636,0.00499375,0.0
2,val,6.123635925292969,456.52155883930897,0.0028125,0.0
3,train,5.952067830657959,384.54769699651143,0.0239375,0.0
3,val,6.107218475341797,449.08782742089176,0.01734375,0.0
4,train,5.6142384124755855,274.30439282130965,0.056015625,0.0
4,val,6.067515075683594,431.60683759067496,0.0333125,0.0
5,train,5.05017710723877,156.05009964138696,0.1251375,0.0
5,val,5.901359558105469,365.53409503381397,0.05703125,0.0
6,train,3.2170736392974852,24.954985934764863,0.43905,0.0
6,val,3.998378890991211,54.50971218332766,0.2963125,0.0
7,train,0.5221200929641724,1.6855974875414625,0.928825,0.31535
7,val,0.8242066040039062,2.2800710482725925,0.85675,0.0765
8,train,0.08031389857530594,1.0836271633171253,0.99466875,0.9195
8,val,0.18653369760513305,1.2050652292137647,0.97234375,0.6385
9,train,0.022259833857417106,1.0225094325268629,0.999790625,0.99665
9,val,0.07799235892295837,1.0811143977601179,0.98834375,0.827
10,train,0.010556718590855598,1.0106126373441784,1.0,1.0
10,val,0.04934497356414795,1.0505827114964108,0.99221875,0.885
11,train,0.006728689935803413,1.0067513784293287,1.0,1.0
11,val,0.03724583661556244,1.037948155137784,0.99384375,0.9075
12,train,0.004927201171219349,1.0049393597880252,1.0,1.0
12,val,0.03135163760185242,1.0318482767540074,0.994625,0.9175
13,train,0.0038149243764579294,1.0038222104628,1.0,1.0
13,val,0.027130227327346802,1.0275016028386694,0.9946875,0.9195
14,train,0.003046893414482474,1.0030515399121513,1.0,1.0
14,val,0.023957727551460264,1.0242470195460387,0.99528125,0.927
15,train,0.002500008097663522,1.0025031357237282,1.0,1.0
15,val,0.021580766439437866,1.0218153153894969,0.9956875,0.933
16,train,0.0020822970144450666,1.00208446650045,1.0,1.0
16,val,0.019381150424480437,1.019570184175944,0.99596875,0.938
17,train,0.0017619998706504703,1.0017635531045546,1.0,1.0
17,val,0.01763603836297989,1.0177924715550168,0.9963125,0.942
18,train,0.0015059038266539574,1.001507038269204,1.0,1.0
18,val,0.0162761949300766,1.016409373757875,0.9965,0.9445
19,train,0.0013005335181951524,1.001301379578648,1.0,1.0
19,val,0.01522693568468094,1.015343456135106,0.99678125,0.9485
20,train,0.001130079011619091,1.0011307177915065,1.0,1.0
20,val,0.014078376114368438,1.0141779431500821,0.9969375,0.951
