model_name,seed,input_seq_len,num_kv_pairs,vocab_size,params,answer_acc,exact_match,answer_loss,regime,output_dir,status
mamba2_slow_init,42,128,16,512,1931712,0.99821875,0.97150000,0.00648770,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v512_seed42,ok
mamba2_slow_init,43,128,16,512,1931712,0.99912500,0.98600000,0.00411790,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v512_seed43,ok
mamba2_slow_init,44,128,16,512,1931712,0.99790625,0.96700000,0.00850308,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v512_seed44,ok
mamba2_slow_init,42,128,16,640,1997376,0.99825000,0.97300000,0.00785833,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v640_seed42,ok
mamba2_slow_init,43,128,16,640,1997376,0.99825000,0.97250000,0.00750725,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v640_seed43,ok
mamba2_slow_init,44,128,16,640,1997376,0.99621875,0.94200000,0.01368175,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v640_seed44,ok
mamba2_slow_init,42,128,16,704,2030208,0.99850000,0.97600000,0.00633182,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v704_seed42,ok
mamba2_slow_init,43,128,16,704,2030208,0.99790625,0.96650000,0.00828692,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v704_seed43,ok
mamba2_slow_init,44,128,16,704,2030208,0.98371875,0.77000000,0.05574644,interesting,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v704_seed44,ok
mamba2_slow_init,42,128,16,768,2063040,0.99737500,0.95850000,0.01000036,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v768_seed42,ok
mamba2_slow_init,43,128,16,768,2063040,0.99875000,0.98000000,0.00639101,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v768_seed43,ok
mamba2_slow_init,44,128,16,768,2063040,0.99840625,0.97500000,0.00755170,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v768_seed44,ok
mamba2_slow_init,42,128,16,896,2128704,0.99846875,0.97650000,0.00822340,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v896_seed42,ok
mamba2_slow_init,43,128,16,896,2128704,0.99671875,0.94750000,0.01335342,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v896_seed43,ok
mamba2_slow_init,44,128,16,896,2128704,0.99862500,0.97850000,0.00814809,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v896_seed44,ok
mamba2_slow_init,42,128,16,1024,2194368,0.99643750,0.94500000,0.01605302,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1024_seed42,ok
mamba2_slow_init,43,128,16,1024,2194368,0.99759375,0.96250000,0.01129623,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1024_seed43,ok
mamba2_slow_init,44,128,16,1024,2194368,0.99768750,0.96350000,0.01230105,too_easy,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1024_seed44,ok
mamba2_slow_init,42,128,16,1280,2325696,0.00165625,0.00000000,6.48510907,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1280_seed42,ok
mamba2_slow_init,43,128,16,1280,2325696,0.00137500,0.00000000,6.48305554,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1280_seed43,ok
mamba2_slow_init,44,128,16,1280,2325696,0.00150000,0.00000000,6.48208182,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1280_seed44,ok
mamba2_slow_init,42,128,16,1536,2457024,0.00106250,0.00000000,6.66748813,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1536_seed42,ok
mamba2_slow_init,43,128,16,1536,2457024,0.00146875,0.00000000,6.66753564,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1536_seed43,ok
mamba2_slow_init,44,128,16,1536,2457024,0.00150000,0.00000000,6.66739951,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v1536_seed44,ok
mamba2_slow_init,42,128,16,2048,2719680,0.00093750,0.00000000,6.95599164,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v2048_seed42,ok
mamba2_slow_init,43,128,16,2048,2719680,0.00159375,0.00000000,6.95557968,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v2048_seed43,ok
mamba2_slow_init,44,128,16,2048,2719680,0.00071875,0.00000000,6.95646005,too_hard,outputs/MQARFailureSweep/mqar_fail_mamba2_slow_init_v2048_seed44,ok
