epoch,split,loss,perplexity,bpc
1,train,2.4862762769063314,12.0164467858309,3.5869384549726395
1,val,2.1322248327732085,8.43360932465213,3.076150192302207
2,train,2.0134424606959027,7.489053796890553,2.9047834531612504
2,val,1.9365585333108901,6.9348438223969024,2.793863392398826
3,train,1.8489253600438436,6.352988677435859,2.6674354479090945
3,val,1.807162006497383,6.093130606262422,2.607183664856723
4,train,1.7373294512430826,5.682148687447997,2.5064365836987395
4,val,1.712995091676712,5.545546047882912,2.471329523829128
5,train,1.6660507520039876,5.291230100445102,2.403603157785481
5,val,1.6438600724935533,5.1751072961577735,2.3715887745018214
6,train,1.6017033338546753,4.9614762815191975,2.31076945672746
6,val,1.5949298310279847,4.927983268466867,2.300997357789946
7,train,1.5604888359705607,4.76114809681801,2.251309505017319
7,val,1.5596295714378356,4.757058768282458,2.250069848337145
8,train,1.519491720199585,4.569901815945897,2.1921631694037815
8,val,1.5359014904499053,4.645511527128863,2.215837463566046
9,train,1.490039046605428,4.437268775904167,2.14967194326857
9,val,1.5141858035326003,4.545718511768056,2.1845083497409528
10,train,1.4747561931610107,4.369970214415356,2.1276234463936765
10,val,1.4972907721996307,4.46956358648174,2.160133971821214
