arch_name,seed,params,best_val_loss,best_val_bpc,final_val_loss,final_val_bpc,train_max_steps,eval_max_batches,status,output_dir
mamba2_depth4,42,1682907,1.46114360,2.10798463,1.46114360,2.10798463,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed42
mamba2_depth4,43,1682907,1.45826517,2.10383193,1.45826517,2.10383193,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed43
mamba2_depth4,44,1682907,1.45375161,2.09732023,1.45375161,2.09732023,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed44
mamba2_depth4,45,1682907,1.45364586,2.09716768,1.45364586,2.09716768,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed45
mamba2_depth4,46,1682907,1.46159153,2.10863086,1.46159153,2.10863086,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed46
mamba2_depth4,47,1682907,1.45049897,2.09262768,1.45049897,2.09262768,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed47
mamba2_depth4,48,1682907,1.45190377,2.09465437,1.45190377,2.09465437,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed48
mamba2_depth4,49,1682907,1.45314802,2.09644944,1.45314802,2.09644944,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed49
mamba2_depth4,50,1682907,1.45331173,2.09668563,1.45331173,2.09668563,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed50
mamba2_depth4,51,1682907,1.45303842,2.09629133,1.45303842,2.09629133,20000,1000,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/Text8BPC/text8_mamba2_depth4_seed51
