epoch,split,loss,perplexity,bpc
1,train,2.488824399312337,12.047105207243144,3.590614618531362
1,val,2.128269041419029,8.400313624640635,3.0704431917327413
2,train,2.0076183478037515,7.4455634713385725,2.8963810343741665
2,val,1.9239458832740783,6.847926346284491,2.7756671847382495
3,train,1.8491400718688964,6.354352885679911,2.667745211594318
3,val,1.7927169308662414,6.005747520905431,2.586343825878409
4,train,1.7306331157684327,5.644226226088012,2.496775813717333
4,val,1.6928038631677627,5.434697510419567,2.4421997385898107
5,train,1.6599920988082886,5.259269289787813,2.39486236886558
5,val,1.6209468071460724,5.05787688420599,2.3385319202144377
6,train,1.5992409785588582,4.94927439297996,2.3072170289532776
6,val,1.566905649781227,4.791797729004098,2.2605670104802753
7,train,1.5486354589462281,4.7050455724220095,2.2342086967665273
7,val,1.5324078249931334,4.629309981846308,2.2107971697370363
8,train,1.5174223979314168,4.560454993985356,2.189177768429494
8,val,1.4997017251253129,4.480352494435637,2.1636122416509123
9,train,1.4979143619537354,4.472351629746849,2.16103362166701
9,val,1.4737193567752838,4.365441618404764,2.126127607681775
10,train,1.4773181438446046,4.381180216197838,2.1313195599398993
10,val,1.4542976874113083,4.28147547532654,2.098108061604582
