epoch,split,loss,perplexity,bpc
1,train,2.508980719248454,12.29239427197991,3.619694041345769
1,val,2.1403625659942627,8.502519794651198,3.0878904596642993
2,train,2.007842270533244,7.447230888913063,2.896704086585548
2,val,1.9400065422058106,6.958796496367226,2.7988378177324686
3,train,1.8576114257176717,6.40841150903052,2.679966791781562
3,val,1.8065740530490875,6.089549182070079,2.606335427332594
4,train,1.73992973168691,5.6969430940259596,2.5101879953999697
4,val,1.7065288891792298,5.5098031092572475,2.4620007655526264
5,train,1.6633836428324382,5.277136614902168,2.3997553326101775
5,val,1.6331497106552124,5.119975790668671,2.3561369885915204
6,train,1.6188321034113566,5.047192274443084,2.335481047623414
6,val,1.5737174084186554,4.824549721265449,2.2703943008862257
7,train,1.5561718463897705,4.740638571646648,2.245081405557544
7,val,1.5323671950101851,4.629121896881654,2.210738553062125
8,train,1.5241346597671508,4.591168926657569,2.198861515293056
8,val,1.497534987092018,4.470655253767309,2.160486299435372
9,train,1.492540431022644,4.448381984283804,2.1532806781626443
9,val,1.4706055237054825,4.351869503545345,2.1216352961538165
10,train,1.468320910135905,4.3419385119830896,2.1183392954866394
10,val,1.448149447977543,4.255232695089153,2.089238027063291
