epoch,split,loss,perplexity,bpc
1,train,2.6487950960795086,14.136994658966254,3.8214035494449123
1,val,2.2816761313676834,9.793081151294286,3.291762839638872
2,train,2.1577292919158935,8.65147037386561,3.112945349027914
2,val,2.0574586297273636,7.826055611277317,2.9682853619418696
3,train,1.9730421702067058,7.192524121981833,2.8464981544220125
3,val,1.9155500800609588,6.7906731837181615,2.7635546010784022
4,train,1.8459336360295613,6.334010691250682,2.663119302509981
4,val,1.8119672192335128,6.1224798532693026,2.6141161214415543
5,train,1.7631494681040445,5.830772338087593,2.5436869939797186
5,val,1.7294807406663895,5.637725706552574,2.4951132878723716
6,train,1.688033938407898,5.408836139632196,2.4353181917933404
6,val,1.6681856080293656,5.30253818117402,2.406683103986306
7,train,1.6400014479955038,5.155176976902361,2.3660219560738325
7,val,1.6170138376951217,5.038023475949271,2.3328578446915835
8,train,1.59078897635142,4.907619396917691,2.295023367283024
8,val,1.5806000677347183,4.8578699878374705,2.2803238793496377
9,train,1.5545726458231608,4.73306339848181,2.242774246830709
9,val,1.5511757359504699,4.717012885202844,2.2378735418030313
10,train,1.535567077000936,4.643958265327143,2.2153550069416115
10,val,1.5292202920913696,4.614577396740621,2.206198531826991
