epoch,split,loss,perplexity,bpc
1,train,2.494090938568115,12.110719125298694,3.5982126285983203
1,val,2.153625379443169,8.616038251584435,3.107024654855272
2,train,2.030281647046407,7.6162311457362915,2.9290772638017284
2,val,1.939195344567299,6.953153826052333,2.797667506922207
3,train,1.8642601092656454,6.451160965525129,2.689558814564664
3,val,1.8025528671741486,6.065111140797702,2.600534082412327
4,train,1.7419281085332234,5.708339116180722,2.5130710437659736
4,val,1.693079288005829,5.436194567255168,2.4425970926378264
5,train,1.6530420700709025,5.222843942312703,2.3848355968721173
5,val,1.6175170131921768,5.040559123800392,2.3335837734858815
6,train,1.591346804300944,4.910357767881839,2.2958281428994716
6,val,1.5678484451770782,4.796317544136509,2.2619271767224425
7,train,1.549721074104309,4.71015621480838,2.2357749083714045
7,val,1.5243797206878662,4.592294180614149,2.199215063468088
8,train,1.5182526032129924,4.564242679868611,2.1903755014721433
8,val,1.4956982263326646,4.462451266316179,2.1578364137965536
9,train,1.4964802980422973,4.465942588261289,2.1589647047736604
9,val,1.4705224641561507,4.351508054236747,2.1215154665538973
10,train,1.4678351561228433,4.3398299100988025,2.1176385005809033
10,val,1.4498531215190888,4.262488401367326,2.0916959084329734
