epoch,split,loss,perplexity,bpc
1,train,2.580227835973104,13.200145285025808,3.7224819033220586
1,val,2.2187700692415238,9.196013447693886,3.2010085757676086
2,train,2.0956750472386676,8.130927878455294,3.02341999796597
2,val,2.0052053517103197,7.42761901442792,2.892899816876488
3,train,1.920780102411906,6.826281591464424,2.7710999283878524
3,val,1.8709848572015761,6.494689592395893,2.699260575063059
4,train,1.8109310070673625,6.116138950985751,2.6126211832881405
4,val,1.769262636423111,5.866526003562749,2.5525064315977555
5,train,1.7260450760523478,5.618389607035278,2.490156671571536
5,val,1.6879794443845748,5.408541398420342,2.435239573536134
6,train,1.6630559047063191,5.275407379420402,2.3992825064409153
6,val,1.6264119729995727,5.0855946924646975,2.346416487888918
7,train,1.6050283273061117,4.978000614089659,2.3155664082908354
7,val,1.5767258296012878,4.839085853283918,2.274734535207315
8,train,1.5626779397328694,4.771582160486859,2.254467714159193
8,val,1.539487457871437,4.662200084549707,2.2210109209818794
9,train,1.5349537531534831,4.641110888247832,2.2144701676684324
9,val,1.5193272017240524,4.569150044507645,2.191925819414996
10,train,1.506119958559672,4.509200921551759,2.17287179519793
10,val,1.4886247043013572,4.430997394944991,2.147631478640368
