epoch,split,loss,perplexity,bpc
1,train,2.9117929617563885,18.38974112836957,4.200829266021329
1,val,2.3412970663338046,10.394710451555397,3.3777776668476585
2,train,2.1039325555165607,8.198347056841335,3.035333064208586
2,val,2.031971535865101,7.629112610646328,2.931515258020112
3,train,1.8302230914433797,6.235277540438391,2.6404537777458317
3,val,1.8702652286018826,6.490017509303006,2.6982223704509996
4,train,1.6569337050120037,5.2432089451668435,2.3904500393025945
4,val,1.765765382130469,5.846045104644512,2.547460960173033
5,train,1.5456056118011474,4.6908115778298445,2.2298375513156676
5,val,1.6834766155276608,5.384242410286301,2.4287433646742924
6,train,1.4602640390396118,4.307096619875349,2.1067156875109356
6,val,1.6309478754475872,5.108714849628308,2.3529604118566247
7,train,1.4029827515284221,4.067313677857746,2.0240762580828076
7,val,1.5875298271324516,4.8916507691984785,2.2903214088673014
8,train,1.3524979988733927,3.8670734205189037,1.9512421557868906
8,val,1.5594455354346346,4.756183378753816,2.2498043405079815
9,train,1.3141011397043865,3.721404458734752,1.8958471974780533
9,val,1.540771871458941,4.66819212499128,2.2228639380950215
10,train,1.2803862730662028,3.5980292789803547,1.847206926574913
10,val,1.5288491612765787,4.612865102633661,2.2056631032409713
