epoch,split,loss,perplexity,bpc
1,train,1.9755248427391052,7.210402988560306,2.8500798937726564
1,val,1.675573656794944,5.341858663806265,2.4173418053022515
2,train,1.3602218322264843,3.897057698902188,1.9623852918620486
2,val,1.5426842562552852,4.677128046374241,2.2256229261569787
3,train,1.2026461928318708,3.3289142268865834,1.7350516983425321
3,val,1.553551027692953,4.728230484219258,2.241300363420576
4,train,1.0810929490969732,2.9478996953280694,1.5596874364022277
4,val,1.6221259611374528,5.063844417550852,2.3402330798302464
5,train,0.9523640053394513,2.591829521600217,1.3739708276243767
5,val,1.7479595355841184,5.742872585503783,2.5217725536617834
