epoch,split,loss,perplexity,bpc
1,train,3.082704210281372,21.81732132033836,4.447402076700464
1,val,2.480758493329802,11.95032522310522,3.578977975970082
2,train,2.2553401629130048,9.538537415026296,3.253768068552299
2,val,2.1549825820197213,8.627739899856552,3.108982684281946
3,train,1.989811642964681,7.314155959821791,2.870691389608266
3,val,1.9865122466659917,7.290063427981079,2.8659313669302193
4,train,1.8184463580449421,6.162277036625253,2.6234635428740343
4,val,1.879084523753946,6.547508029559153,2.7109459238310176
5,train,1.6980504274368287,5.4632859301034475,2.4497689308424975
5,val,1.7967254044785685,6.029869715656515,2.592126830880448
6,train,1.605989933013916,4.9827897901741105,2.316953712076775
6,val,1.7427995271150534,5.71331563695937,2.5143282350325182
7,train,1.5412639141082765,4.6704896398033515,2.223573805585124
7,val,1.6949792875527057,5.446533153013625,2.4453382125617966
8,train,1.4938764095306396,4.4543288986004965,2.155208087730864
8,val,1.660378874900787,5.261303842845992,2.395420368816162
9,train,1.454724383354187,4.2833027533597345,2.098723653725341
9,val,1.6345060972073633,5.126925168934639,2.358093840743837
10,train,1.425626564025879,4.160463823226549,2.056744374079708
10,val,1.6082486701414505,4.994057322878625,2.320212380929341
