epoch,split,loss,perplexity,bpc
1,train,2.9782166639963785,19.65273794036205,4.296658411840448
1,val,2.4186961233536053,11.231205656909788,3.489440902579607
2,train,2.212623103459676,9.139659248813647,3.192140378717623
2,val,2.1088324436307313,8.238616617743443,3.0424021084918107
3,train,1.9397578954696655,6.957066429427568,2.7984790963192987
3,val,1.9422248233227153,6.974250197220885,2.8020381208991245
4,train,1.7548792203267416,5.782749261210181,2.531755548524481
4,val,1.8370921295522509,6.278255338562185,2.6503637049611775
5,train,1.6269893487294516,5.088531839249167,2.347249464991144
5,val,1.7528943106148633,5.7712824101371,2.5288919291265417
6,train,1.5320443232854208,4.6276275255687676,2.2102727476259645
6,val,1.6935587658237188,5.4388017269515725,2.4432888329079123
7,train,1.4707617282867431,4.35254933859414,2.1218606517285656
7,val,1.6474965423407049,5.193960676895025,2.376835091516649
8,train,1.422816228866577,4.148787939722756,2.052689917482147
8,val,1.6154232036407705,5.030016194257556,2.3305630448295016
9,train,1.3860998074213664,3.999221860903277,1.9997193183439526
9,val,1.5917008241417483,4.912096439701118,2.2963388855681766
10,train,1.355994955698649,3.880620081550088,1.9562871980568906
10,val,1.5739390776890783,4.82561929422363,2.270714102043382
