epoch,split,loss,perplexity,bpc
1,train,3.0303567091623944,20.70461679881963,4.3718805964331855
1,val,2.470222017086697,11.825071928249141,3.56377705394571
2,train,2.2554883480072023,9.539950988824344,3.2539818544528316
2,val,2.146682478325423,8.556425133434375,3.0970081658433175
3,train,1.9829564332962035,7.264187355483869,2.8608014126152996
3,val,1.9771784357037578,7.222335923604129,2.8524655241424095
4,train,1.7996663173039755,6.047629138495967,2.596369671229349
4,val,1.8667116145745237,6.46699542207743,2.6930955891164956
5,train,1.6715924421946207,5.320633856392188,2.4115981267416506
5,val,1.783222233478088,5.948994617777463,2.572645873041779
6,train,1.5740027189254762,4.825926412374486,2.2708059169395294
6,val,1.7208843803970117,5.589469496330315,2.4827113615420453
7,train,1.505908727645874,4.508248539510406,2.172567053406111
7,val,1.6678112799520104,5.300553663705036,2.40614306272544
8,train,1.4511716524759928,4.268112331125939,2.093598146505757
8,val,1.6271446849612168,5.089322334004942,2.3474735678023824
9,train,1.408485213915507,4.089755604692791,2.032014633281333
9,val,1.5992459362081046,4.949298929807247,2.30722418132926
10,train,1.3757099787394205,3.9578857403599628,1.9847299640288232
10,val,1.575096838339398,4.831209441757904,2.272384397592135
