epoch,split,loss,perplexity,bpc
1,train,3.030356740951538,20.704617457001678,4.371880642295225
1,val,2.4702220204003433,11.825071967433248,3.5637770587262914
2,train,2.255488395690918,9.539951443724666,3.2539819232458913
2,val,2.146682475952369,8.556425113129514,3.097008162419724
3,train,1.9829564094543457,7.264187182292149,2.8608013782187696
3,val,1.977178452824264,7.222336047254177,2.852465548842079
4,train,1.7996663570404052,6.047629378807162,2.5963697285568994
4,val,1.8667116334899214,6.466995544403222,2.693095616405646
5,train,1.6715924580891928,5.320633940961387,2.411598149672671
5,val,1.7832222287060924,5.948994589388887,2.5726458661572447
6,train,1.574002726872762,4.825926450727503,2.2708059284050397
6,val,1.7208843814756727,5.589469502359457,2.482711363098224
7,train,1.5059086561203003,4.508248217055355,2.172566950216521
7,val,1.6678112335264448,5.300553417623839,2.4061429957475067
8,train,1.4511716842651368,4.2681124668055785,2.0935981923677973
8,val,1.6271447683546494,5.0893227584210186,2.347473688113674
9,train,1.4084851503372193,4.089755344673141,2.0320145415572526
9,val,1.5992456513639597,4.949297520028626,2.3072237703860248
10,train,1.3757099787394205,3.9578857403599628,1.9847299640288232
10,val,1.5750964219288242,4.831207429991627,2.272383796838665
