epoch,split,loss,perplexity,bpc
1,train,3.0502685070037843,21.121014801639564,4.400607248434142
1,val,2.50088735253389,12.193308925222054,3.6080177813225722
2,train,2.2737560749053953,9.71582573310815,3.2803366134571683
2,val,2.164996384700228,8.71457041100987,3.1234295477495535
3,train,1.9949537674585978,7.351863124717266,2.8781099071152734
3,val,1.9848910985562525,7.278254729845483,2.8635925445917523
4,train,1.8228669087092082,6.189577992644604,2.6298410493953694
4,val,1.8839015740194094,6.579123791073012,2.7178954583607142
5,train,1.7029929717381795,5.49035530352673,2.4568995149954302
5,val,1.8048124163555537,6.078831052281081,2.6037939228109845
6,train,1.6133341709772746,5.019519294130876,2.327549207765621
6,val,1.7487792938841626,5.747582283114956,2.5229552148959846
7,train,1.5484081268310548,4.703976086028952,2.233880725851332
7,val,1.6959430185383604,5.451784675898785,2.446728582475552
8,train,1.5000301202138264,4.481824061804143,2.164086015616563
8,val,1.6604695590118874,5.261780981142313,2.3955511983335342
9,train,1.4609079678853354,4.30987097677856,2.1076446804633466
9,val,1.6338289725540962,5.123454776584003,2.357116956364505
10,train,1.4357109467188518,4.2026317942241125,2.0712930629812862
10,val,1.6078020609589339,4.991827429002818,2.319568060076509
