epoch,split,loss,perplexity,bpc
1,train,2.1379984128169522,8.482442277977418,3.084479707599492
1,val,1.787861590732109,5.976658250230048,2.5793390507450673
2,train,1.4748879273732503,4.370545926918746,2.12781349868839
2,val,1.592826518656159,4.917629073160874,2.2979629194616726
3,train,1.3212180550281818,3.7479838485985195,1.9061147359221196
3,val,1.5402333523872653,4.665678891274607,2.222087019300891
4,train,1.2413354821694202,3.460231457866645,1.790868544205333
4,val,1.530103547431277,4.618655047405976,2.207472799925714
5,train,1.180978420453194,3.2575599073972072,1.703791710584704
5,val,1.539046684951025,4.6601455658242665,2.2203750200754424
6,train,1.124202419549991,3.077761107633347,1.6218812556401458
6,val,1.566049858971211,4.787698706747118,2.259332365322627
7,train,1.0698241071823316,2.9148667507579473,1.5434299340554127
7,val,1.6076818106733388,4.991227196418633,2.3193945755858154
