epoch,split,loss,perplexity,bpc
1,train,3.0394911607106527,20.89460853188825,4.385058824383099
1,val,2.483471554147748,11.982791203404913,3.5828920953577628
2,train,2.273040596644084,9.70887675722245,3.2793043965177104
2,val,2.166253841564754,8.725535500012978,3.125243674532137
3,train,2.0110299666722615,7.471008275471384,2.901302959997169
3,val,2.001982040594836,7.403716031567776,2.8882495619149373
4,train,1.8413818677266438,6.305245258613084,2.6565524889520864
4,val,1.8963103366444025,6.6612711962347895,2.7357975186633605
5,train,1.7193771521250407,5.58105123559409,2.480536890788585
5,val,1.8202446246960424,6.173368423561769,2.626057893253773
6,train,1.6277494351069133,5.092401033256009,2.3483460378385552
6,val,1.7642890787592542,5.837420936059174,2.545331104620534
7,train,1.563076663017273,4.773485080741786,2.255042950264289
7,val,1.7134805764641565,5.548238979763069,2.472029930324401
8,train,1.5138537883758545,4.5442095148426365,2.1840293531208155
8,val,1.6753299642245922,5.340557051141136,2.4169902312395037
9,train,1.4715177059173583,4.355841012589453,2.122951296907277
9,val,1.6486934754452645,5.20018122241876,2.378561900970873
10,train,1.445703959465027,4.244839286076143,2.0857099329137334
10,val,1.6225747976136504,5.066117765777878,2.340880613988627
