run_name,d_model,n_layers,n_heads,dropout,lr,seed,params,best_val_loss,best_val_bpc,best_val_ppl,epochs_completed,status,output_dir
tsrch_d192_l6_h4_lr1em3_do0p05_s42,192,6,4,0.05,0.001,42,2891201,1.61627332,2.33178950,5.034294,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr1em3_do0p05_s42
tsrch_d192_l6_h4_lr1em3_do0p0_s42,192,6,4,0.0,0.001,42,2891201,1.61161734,2.32507234,5.010909,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr1em3_do0p0_s42
tsrch_d192_l6_h4_lr1p5em3_do0p05_s42,192,6,4,0.05,0.0015,42,2891201,1.55431006,2.24239542,4.731821,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr1p5em3_do0p05_s42
tsrch_d192_l6_h4_lr1p5em3_do0p0_s42,192,6,4,0.0,0.0015,42,2891201,1.55963810,2.25008215,4.757099,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr1p5em3_do0p0_s42
tsrch_d192_l6_h4_lr2em3_do0p05_s42,192,6,4,0.05,0.002,42,2891201,1.53185020,2.20999269,4.626729,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr2em3_do0p05_s42
tsrch_d192_l6_h4_lr2em3_do0p0_s42,192,6,4,0.0,0.002,42,2891201,1.54269612,2.22564004,4.677184,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr2em3_do0p0_s42
tsrch_d192_l6_h4_lr7em4_do0p05_s42,192,6,4,0.05,0.0007,42,2891201,1.69411040,2.44408467,5.441803,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr7em4_do0p05_s42
tsrch_d192_l6_h4_lr7em4_do0p0_s42,192,6,4,0.0,0.0007,42,2891201,1.68678270,2.43351304,5.402073,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d192_l6_h4_lr7em4_do0p0_s42
tsrch_d232_l4_h4_lr1em3_do0p05_s42,232,4,4,0.05,0.001,42,2863873,1.60883572,2.32105931,4.996990,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d232_l4_h4_lr1em3_do0p05_s42
tsrch_d232_l4_h4_lr1em3_do0p0_s42,232,4,4,0.0,0.001,42,2863873,1.58903569,2.29249391,4.899022,50,ok,/home/jovyan/shares/SR008.fs2/nvidenisov/other/repos/mamba/mamba_multi_scale_get_started/outputs/TransformerLMSearch/tsrch_d232_l4_h4_lr1em3_do0p0_s42
