epoch,split,loss,perplexity,bpc
1,train,3.006333589553833,20.213154181086523,4.3372225609072315
1,val,2.5657292674589685,13.01014278468208,3.701564890426727
2,train,2.521884568532308,12.452041290314543,3.638310360715964
2,val,2.501137581115305,12.196360421387022,3.6083787848560682
3,train,2.476682202021281,11.90171136570106,3.5730971307140598
3,val,2.483313658103684,11.980899317441636,3.5826642995180156
4,train,2.453809928894043,11.632581708797652,3.5400994156995362
4,val,2.4557188348978216,11.654808421464278,3.5428533849247104
5,train,2.4319403966267905,11.380944214196738,3.5085483499510097
5,val,2.4434205759463308,11.512352345822856,3.525110747723826
6,train,2.4089394251505536,11.122159005532586,3.475364962466614
6,val,2.4129366684875206,11.16670595469392,3.481131765606083
7,train,2.3633906205495196,10.62692229734936,3.409651927950282
7,val,2.352916142680087,10.516191769552277,3.39454045067215
8,train,2.310840431849162,10.082895081265068,3.333838031314497
8,val,2.305772782451857,10.031927755427013,3.3265269586600406
9,train,2.224912230173747,9.252670662970214,3.2098698408848687
9,val,2.2128717099851993,9.141931710206622,3.1924990421191275
10,train,2.125285800298055,8.375290806714245,3.0661392845617357
10,val,2.137047059796243,8.474376318289186,3.08310719531438
11,train,2.0318390925725303,7.628102252761819,2.931324182738721
11,val,2.066568338829439,7.897674419282343,2.981427894087375
12,train,1.958590531349182,7.089327834672715,2.825648846709545
12,val,2.002273342816022,7.405873064651813,2.8886698221848426
13,train,1.872132134437561,6.5021450778566425,2.7009157462419395
13,val,1.9412144393908215,6.967207085607186,2.8005804450111875
14,train,1.8233481486638388,6.192557381719998,2.6305353318913927
14,val,1.9077114970459268,6.737652005177514,2.7522459162350192
15,train,1.767173457145691,5.854282572819767,2.5494923830146936
15,val,1.8669092905418128,6.46827391801274,2.6933807752542065
16,train,1.7221525192260743,5.596562215958526,2.4845408991418925
16,val,1.8197435921483935,6.1702761397850345,2.6253350560819557
17,train,1.6818004926045735,5.375225317148258,2.4263252304452343
17,val,1.79125931094489,5.996999800650832,2.5842409248463745
18,train,1.6462673505147298,5.187580225089512,2.3750617425650136
18,val,1.7580859150946009,5.801322536506725,2.536381831163716
19,train,1.619081695874532,5.048452172819011,2.33584113343228
19,val,1.733134513381897,5.65836235276577,2.5003845676495695
20,train,1.5865474621454874,4.886847742303347,2.288904155772265
20,val,1.718725204257815,5.577413866960363,2.4795963288336202
21,train,1.564682912826538,4.78115865142814,2.257360278898545
21,val,1.6964340271920118,5.454462206644084,2.4474369582252082
22,train,1.538871741294861,4.659330374229103,2.22012262973026
22,val,1.6777822127096615,5.353669494993512,2.4205280779679406
23,train,1.5226678053538005,4.584439287162421,2.1967452917052097
