epoch,split,answer_loss,answer_ppl,answer_accuracy,exact_match
1,train,5.546307469940186,256.2894500300701,0.0053625,0.0
1,val,5.560180328369141,259.86969397604554,0.00421875,0.0
2,train,5.425374687957763,227.09642067019075,0.02876875,0.0
2,val,5.495346145629883,243.5558173531236,0.02459375,0.0
3,train,4.850108202362061,127.75421240574411,0.067590625,0.0
3,val,5.093935043334961,163.03013211685885,0.04384375,0.0
4,train,4.169437113189697,64.67903488333808,0.1164625,0.0
4,val,4.603506484985352,99.83376821805994,0.05925,0.0
5,train,3.518949694442749,33.748963118870165,0.205284375,0.0
5,val,4.2408942718505855,69.46994908863711,0.08975,0.0
6,train,2.0934962219238282,8.113231292845825,0.52871875,0.0
6,val,2.827374855041504,16.901034871284722,0.3561875,0.0
7,train,0.29943626918792726,1.3490980650213804,0.94644375,0.42195
7,val,0.5221711444854736,1.6856835420540914,0.87859375,0.116
8,train,0.06502640982866287,1.0671872082433465,0.993803125,0.90585
8,val,0.14818599796295165,1.159728583457772,0.96834375,0.603
9,train,0.019760076397657395,1.0199565990068895,0.999871875,0.99795
9,val,0.06708367228507996,1.0693849523138854,0.9881875,0.834
10,train,0.00999542881399393,1.0100455499675318,1.0,1.0
10,val,0.042949612498283385,1.0438852947533486,0.99275,0.893
11,train,0.0067126620076596736,1.0067352424198903,1.0,1.0
11,val,0.0330634388923645,1.0336161086225202,0.9941875,0.9125
12,train,0.004939647351205349,1.0049518675220086,1.0,1.0
12,val,0.02680160343647003,1.0271639967398156,0.9954375,0.929
13,train,0.0038260474991053343,1.003833376162462,1.0,1.0
13,val,0.02206843948364258,1.0223137487013347,0.99659375,0.9475
14,train,0.00305056696459651,1.0030552246790183,1.0,1.0
14,val,0.018654401957988738,1.0188294822926933,0.99728125,0.958
15,train,0.0024979080572724343,1.0025010304288615,1.0,1.0
15,val,0.01580634468793869,1.0159319257408201,0.9978125,0.9655
16,train,0.0020818768959492443,1.0020840455063196,1.0,1.0
16,val,0.013730455815792084,1.0138251514325505,0.9981875,0.971
17,train,0.0017802565645426512,1.0017818421620444,1.0,1.0
17,val,0.012147556245326995,1.012221637471411,0.998625,0.978
18,train,0.001526778183877468,1.0015279443030818,1.0,1.0
18,val,0.01088951700925827,1.0109490236028071,0.99878125,0.9805
19,train,0.0013265411581844092,1.0013274214030905,1.0,1.0
19,val,0.009663365751504898,1.0097102068295722,0.9990625,0.985
20,train,0.0011640085183084012,1.0011646862391559,1.0,1.0
20,val,0.008618835568428039,1.0086560846694255,0.99915625,0.9865
