metric,value
experiment_name,imdb_lstm_baseline__seed_42
seed,42
model_lit_class,lstm_baseline_lit.LstmBaselineLitModule
train_epochs,3
model_total_params,8867330
model_trainable_params,8867330
train_loss_epoch_1,0.6187539100646973
train_loss_epoch_2,0.4313010275363922
train_loss_epoch_3,0.34189140796661377
test/accuracy,0.8397200107574463
test/f1_macro,0.8394085168838501
test/f1_weighted,0.8394085168838501
test/loss,0.36501994729042053
confusion_matrix_0_0,9946
confusion_matrix_0_1,2554
confusion_matrix_1_0,1453
confusion_matrix_1_1,11047
