metric,value
experiment_name,imdb_mamba2_baseline__seed_42
seed,42
model_lit_class,mamba_heads_lit.MambaHeadsLitModule
train_epochs,3
model_total_params,11151746
model_trainable_params,11151746
train_loss_epoch_1,0.656909704208374
train_loss_epoch_2,0.3690238296985626
train_loss_epoch_3,0.14496667683124542
test/accuracy,0.8637199997901917
test/f1_macro,0.8634405136108398
test/f1_weighted,0.8634405136108398
test/loss,0.34673064947128296
confusion_matrix_0_0,10231
confusion_matrix_0_1,2269
confusion_matrix_1_0,1138
confusion_matrix_1_1,11362
