metric,value
experiment_name,imdb_multiscale_mamba2__seed_42
seed,42
model_lit_class,classifier_lit.SequenceClassifierLitModule
model_backbone,multiscale_mamba
train_epochs,3
cuda_device_index,0
cuda_device_name,NVIDIA H100 80GB HBM3
seconds_test,3.463917236328125
seconds_train,36.9299765625
seconds_train_plus_test,40.393893798828124
test_timing_method,cuda_event
train_timing_method,cuda_event
model_total_params,11152770
model_trainable_params,11152770
train_loss_epoch_1,0.6539657711982727
train_loss_epoch_2,0.3561267554759979
train_loss_epoch_3,0.12579700350761414
test/accuracy,0.824400007724762
test/f1_macro,0.8227666020393372
test/f1_weighted,0.8227666020393372
test/loss,0.4443153142929077
confusion_matrix_0_0,11505
confusion_matrix_0_1,995
confusion_matrix_1_0,3395
confusion_matrix_1_1,9105
